店名,住所,台数
セガ松江,島根県松江市嫁島町１２－１５ セガワールド松江,1台
ビバーチ松江,島根県松江市東朝日町２０３－１ ビバーチ松江,1台
ピノッキースパティオ益田店,島根県益田市高津7丁目21-12 ゆめタウン益田店内,1台
