店名,住所,台数
ＳＯＹＵＢＲＥＭＥＮＴＯＷＮ鳴海店,愛知県名古屋市緑区鳴海町伝治山３－９ アピタ鳴海２階,1台
アピタ大府店,愛知県大府市明成町４－１３３ アピタ大府,1台
ビバーチ大府店,愛知県大府市柊山町１丁目９８ リソラ大府２Ｆ,1台
アピタ安城南店,愛知県安城市桜井町貝戸尻６０ アピタ安城南,1台
イトーヨーカドー安城店,愛知県安城市住吉町３－１－８ イトーヨーカドー安城,1台
ザ・モール安城アミューズメントシティ,愛知県安城市大東町９－３１ 西友ザ・モール安城,1台
ソユープレイランドソピア安城店,愛知県安城市住吉町３－１－８ イトーヨーカドー安城２階,1台
ハローズガーデン安城南店,愛知県安城市桜井町貝戸尻６０番地 アピタ安城南２階,1台
安城メトロポリス,愛知県安城市浜富町6-8 安城メトロポリス,1台
西友ザ・モール安城店,愛知県安城市大東町９－３１ 西友ザ・モール安城,1台
アピタ小牧店,愛知県小牧市堀の内３－１５ アピタ小牧,1台
アピタ桃花台店,愛知県小牧市古雅１－１ ピアーレ,1台
パラボランド小牧店,愛知県小牧市東１－１２６ イオン小牧２階,1台
小牧メトロポリス,愛知県小牧市間々片山１８１－１ タイムトラベル館,1台
イトーヨーカドー尾張旭店,愛知県尾張旭市南原山町石原１１６－４ イトーヨーカドー尾張旭,1台
NICOPA岡崎店,愛知県岡崎市上和田町南天白５－１ エルエルタウン岡崎２階,1台
にこぱウイングタウン岡崎東店,愛知県岡崎市羽根町小豆坂３ ウイングタウン岡崎,1台
アピタ岡崎北店,愛知県岡崎市日名北町４－４６ アピタ岡崎北,2台
ゲームランド岡崎,愛知県岡崎市戸崎町外山３８－５ イオンモール岡崎,1台
トイザらス岡崎店,愛知県岡崎市大平町石丸３８ ワ－ルド・ワン２Ｆ,1台
モーリーファンタジー岡崎南店,愛知県岡崎市戸崎町字ばら山１－１ イオン岡崎南３階,3台
モーリーファンタジー岡崎店,愛知県岡崎市上六名町字宮前1 コムタウン1F,1台
西友岡崎店ゲームコーナー,愛知県岡崎市戸崎町越舞２－１ 西友岡崎２Ｆ,1台
アピタ岩倉店,愛知県岩倉市旭町1-25 アピタ岩倉,1台
友遊縁日岩倉店,愛知県岩倉市旭町一丁目25 番地 アピタ岩倉店2 階,1台
アミューズファクトリー,愛知県常滑市りんくう町２丁目２０番３ イオンモール常滑２階,2台
モーリーファンタジー常滑店,愛知県常滑市りんくう町２－２０－３ イオンモール常滑２階,1台
タイトーステーション弥富,愛知県弥富市五明蒲原1371-4 タイトーステーション弥富,1台
セガプライムツリー赤池,愛知県日進市赤池町箕ノ手2-757,1台
ビックトイズ プライムツリー赤池店,愛知県日進市赤池町箕ノ手1番 プライムツリー赤池3F,1台
アピタ高蔵寺店,愛知県春日井市中央台２－５ アピタ高蔵寺,1台
アミュージアム春日井店,愛知県春日井市六軒屋町東丘２２ 西友ザ・モール春日井３Ｆ,2台
イオン春日井店キッズインタイトー,愛知県春日井市柏井町４―１７ イオン春日井３階ゲームコーナー,1台
モーリーファンタジー春日井店,愛知県春日井市柏井町４－１７ イオン春日井４階,3台
ＣＬＵＢＳＥＧＡ春日井,愛知県春日井市岩野町菅廻間４１８０ ＣＬＵＢＳＥＧＡ春日井,1台
アピタ東海荒尾店,愛知県東海市荒尾町山王前２０ アピタ荒尾,1台
アピタ江南西店,愛知県江南市松竹町上野２０５ アピタ江南西,1台
ワンダーフォレスト江南西店,愛知県江南市松竹町上野２０５番地 アピタ江南西２階,1台
ジャムジャムガーデン津島店,愛知県津島市津島北新開３５１ ヨシヅヤ津島本店３階,1台
ファンタジックランド清洲店,愛知県清須市西市場５－５－３ ヨシヅヤ清洲３階,1台
太閤天然温泉湯吉郎,愛知県清須市下河原下之切１１１０－１ 太閤天然温泉湯吉郎,1台
セガ東名ボール,愛知県瀬戸市西原町２丁目１１４ 東名ボール,1台
モーリーファンタジー瀬戸みずの店,愛知県瀬戸市みずの坂２丁目２５３番地 イオン瀬戸みずの２階,2台
ファミリーランドドリーム,愛知県田原市田原町南新地７６－１ ショッピングタウンパオ１階ト３階,1台
イトーヨーカドー知多店,愛知県知多市新知東町１－１０－１ イトーヨーカドー知多,1台
ギャラリエアピタ知立店,愛知県知立市長篠町大山１８－１ ギャラリエアピタ知立,2台
セガワールド知立,愛知県知立市長篠町大山１８－１ ギャラリエアピタ知立１階,1台
namcoアピタ稲沢店,愛知県稲沢市天池五反田町１番地 アピタ稲沢,2台
アピタ稲沢店,愛知県稲沢市天池五反田町１ アピタ稲沢,1台
アピタ稲沢東店,愛知県稲沢市下津穂所１－１－１ アピタ稲沢東,1台
タイトーステーションパールシティ稲沢店,愛知県稲沢市井之口大坪町８０－１ パールシティ稲沢２Ｆ,1台
フラミンゴキッズ,愛知県稲沢市下津穂所一丁目１番１ アピタ稲沢東２階,1台
プラザカプコン稲沢店,愛知県稲沢市長野７丁目１－２ リーフウォーク稲沢２階,1台
