店名,住所,台数
アドアーズ南砂町ＳＵＮＡＭＯ店,東京都江東区新砂３－４－３１ 南砂町ショッピングセンターＳＵＮＡＭＯ,3台
アミュージアム豊洲店,東京都江東区豊洲２－４－９ ららぽーと豊洲３階,2台
イトーヨーカドーアリオ北砂店,東京都江東区北砂2-17 アリオ北砂3階,2台
イトーヨーカドー木場店,東京都江東区木場１－５－３０ イトーヨーカドー木場,2台
ダイエー東大島店,東京都江東区大島7-38-30 ダイエー東大島,1台
ハローズガーデン北砂店,東京都江東区北砂２－１７ アリオ北砂３階,1台
モーリーファンタジー南砂店,東京都江東区南砂６－７－１５ イオン南砂３階,2台
モーリーファンタジー大島店,東京都江東区大島4-6-1 ダイエー大島4F,3台
ラウンドワンスタジアム ダイバーシティ東京プラザ店,東京都江東区青海１丁目１番１０号 ダイバーシティ東京６階,2台
タイトーステーション渋谷店,東京都渋谷区渋谷１－２４－１２ 渋谷東映プラザ１階　タイトーステーション内,1台
ハイテクランドセガ渋谷,東京都渋谷区渋谷１－１４－１４ ＥＳＴビル,1台
ビックカメラ渋谷東口店,東京都渋谷区渋谷１－２４－１２ ビックカメラ渋谷東口,1台
ビックカメラ赤坂見附駅店,東京都港区赤坂３－１－６ ビックカメラ赤坂見附駅,1台
東京レジャーランドお台場メディアージュ店,東京都港区台場１丁目７番１号 アクアシティお台場４Ｆ,1台
イオンスタイル碑文谷店,東京都目黒区碑文谷4-1-1,1台
ＣＬＵＢＳＥＧＡ自由ヶ丘,東京都目黒区自由が丘２－１０－９ ＣＬＵＢＳＥＧＡ自由ヶ丘,1台
アミュージアム大泉,東京都練馬区東大泉２－１０－１１ 西友リヴィンオズ大泉５階,3台
アミュージアムＯＳＣ店,東京都練馬区東大泉２－３４－１ Ｔ・ジョイ大泉２Ｆ,1台
イオン練馬店,東京都練馬区光が丘５－１－１ 光が丘ＩＭＡ,2台
ナムコランド練馬店,東京都練馬区光が丘５‐１ 光が丘ＩＭＡ,1台
ライフ平和台店,東京都練馬区北町６－１０－１ ライフ平和台,2台
リヴィン光が丘キッズパーク,東京都練馬区光が丘５－１－１ 光が丘ＩＭＡ,1台
西友リヴィン光が丘店,東京都練馬区光が丘５－１－１ 光が丘ＩＭＡ,1台
西友練馬ＰＡＲＴ２店,東京都練馬区練馬１－３－１０ 西友練馬,1台
サンポップマチヤ,東京都荒川区荒川７－５０－９ サンポップマチヤ,1台
○×△□（ラくトス）,東京都葛飾区新小岩１－４４－６ 新小岩プラザビル,1台
イトーヨーカドーアリオ亀有店,東京都葛飾区亀有3-49-3 アリオ亀有,2台
イトーヨーカドー四つ木店,東京都葛飾区四つ木２－２１－１ イトーヨーカドー四つ木,3台
イトーヨーカドー高砂店,東京都葛飾区高砂３－１２－５ イトーヨーカドー高砂,1台
ライフ奥戸店,東京都葛飾区奥戸３－２３－１９ ライフ奥戸,1台
ライフ水元店,東京都葛飾区水元２－１１－５ ライフ水元,1台
東京レジャーランド亀有店,東京都葛飾区亀有３－２１－２ 東京レジャーランド亀有,2台
AMサントロペ池袋,東京都豊島区東池袋1-29 サントロペビル2F,1台
タイトーステーション池袋西口,東京都豊島区西池袋1丁目15番9号 西池ビル,2台
ビックカメラ池袋本店,東京都豊島区東池袋１－４１－５ ビックカメラ池袋本店,2台
ビックカメラ池袋西口店,東京都豊島区西池袋１－１６－３ ビックカメラ池袋西口,1台
池袋ＧＩＧＯ,東京都豊島区東池袋１－２１－１ 池袋ＧＩＧＯ,2台
イトーヨーカドーアリオ西新井店,東京都足立区西新井栄町1-20-1 アリオ西新井,3台
イトーヨーカドー竹の塚店,東京都足立区竹の塚５－１７－１ イトーヨーカドー竹の塚,1台
イトーヨーカドー綾瀬店,東京都足立区綾瀬３－４－２５ イトーヨーカドー綾瀬,1台
ゲオ鹿浜店,東京都足立区谷在家２－１１－２ ゲオ鹿浜,1台
セガ竹の塚,東京都足立区竹の塚６－８－３ ピーくんプラザ,2台
ライフ竹の塚店,東京都足立区西伊興４－１－２２ ライフ竹の塚,1台
ハローズガーデンあきる野,東京都あきる野市秋川１－１７－１ あきる野とうきゅう３Ｆ,1台
YAZWORLD八王子みなみ野店,東京都八王子市みなみ野1-2-1 アクロスモール3階,1台
にこぱイーアス高尾,東京都八王子市東浅川町549-3,1台
イトーヨーカドー八王子店,東京都八王子市狭間町１４６２－１ イトーヨーカドー八王子,2台
イトーヨーカドー南大沢店,東京都八王子市南大沢２－２８－１ イトーヨーカドー南大沢,1台
シルクハット八王子店,東京都八王子市旭町2-5 八王子ツインタワービル3F,1台
ソピア八王子店,東京都八王子市狭間町１４６２－１ イトーヨーカドー八王子３階,1台
ソピア南大沢店,東京都八王子市南大沢２－２８－１ イトーヨーカドー南大沢３階,1台
ドラマ八王子高倉店,東京都八王子市高倉町５５－４ ドラマ八王子高倉,1台
ドン・キホーテ八王子駅前店,東京都八王子市中町１－３ ドン・キホーテ八王子駅前,1台
ビックカメラＪＲ八王子駅店,東京都八王子市旭町１－１７ セレオ八王子,2台
プレビ三和堀之内,東京都八王子市別所2丁目1,1台
ヨドバシカメラ八王子店,東京都八王子市東町７－４ ヨドバシカメラ八王子,2台
東京あそびマーレ,東京都八王子市別所2-1-2,1台
タイトーステーション 国分寺店,東京都国分寺市本町3-5-11,1台
PALO聖蹟桜ヶ丘店,東京都多摩市関戸4-72 聖蹟桜ケ丘オーパ6階,2台
THE 3RD PLANET 多摩センター店,東京都多摩市落合１－３９－２ マグレブビル,2台
