店名,住所,台数
イトーヨーカドーららぽーと横浜店,神奈川県横浜市都筑区池辺町４０３５－１ ららぽーと横浜,2台
イトーヨーカドー上永谷店,神奈川県横浜市港南区丸山台１－１２ イトーヨーカドー上永谷,2台
イトーヨーカドー桂台店,神奈川県横浜市栄区桂台中15-1,1台
イトーヨーカドー横浜別所店,神奈川県横浜市南区別所１－１４－１ イトーヨーカドー横浜別所,2台
イトーヨーカドー洋光台店,神奈川県横浜市磯子区洋光台３－１０－３ イトーヨーカドー洋光台,1台
イトーヨーカドー立場店,神奈川県横浜市泉区中田西１－１－１５ イトーヨーカドー立場,3台
イトーヨーカドー綱島店,神奈川県横浜市港北区綱島西２－８－１ イトーヨーカドー綱島,2台
イトーヨーカドー能見台　キッズ・パーク,神奈川県横浜市金沢区横浜市金沢区能見台東３－１ イトーヨーカドー能見台,1台
イトーヨーカドー能見台店,神奈川県横浜市金沢区能見台東３－１ イトーヨーカドー能見台,1台
イトーヨーカドー若葉台店,神奈川県横浜市旭区若葉台３－７－１ イトーヨーカドー若葉台,1台
イトーヨーカドー鶴見店,神奈川県横浜市鶴見区鶴見中央３－１５－３０ イトーヨーカドー鶴見,2台
オーケーストア港北店,神奈川県横浜市都筑区葛が谷8-1 オーケーストアDC港北NT,1台
キッズトレイン東戸塚店,神奈川県横浜市戸塚区品濃町５３７－１ オーロラモール６階,1台
ザ・サードプラネット横浜本店,神奈川県横浜市都筑区中川中央1-25―1 ノースポート・モール6階,4台
ジアス上大岡店,神奈川県横浜市港南区上大岡西２－１－２８ 上大岡赤い風船,2台
スコナランド イオン金沢,神奈川県横浜市金沢区並木2-13-1 イオン金沢シーサイド3階,1台
タイトーステーション横浜西口五番街店,神奈川県横浜市西区南幸１－１２－９ タイトーステーション横浜西口五番街,1台
トイザらス磯子店,神奈川県横浜市磯子区磯子３－４－２３ トイザらス磯子,1台
ナムコランドWAOこどものくに店,神奈川県横浜市青葉区奈良１－２－１ 三和ショッピングセンター,1台
ビックカメラ新横浜店,神奈川県横浜市港北区新横浜２－１００－４５ キュ－ビックプラザ新横浜,2台
ピアこばやし杉田東急店,神奈川県横浜市磯子区杉田１－１７－１ 杉田東急３Ｆ,1台
ファンタスティックジャーニー横浜店,神奈川県横浜市都筑区池辺町４０３５－１ ららぽーと横浜２階,1台
プラサカプコン磯子店,神奈川県横浜市磯子区磯子１－１－１ マリコム磯子ショッピングセンター２階,1台
モラモラ東神奈川店,神奈川県横浜市神奈川区富家町1 イオン東神奈川,1台
モーリーファンタジーサクラス戸塚店,神奈川県横浜市戸塚区戸塚町4253-1 サクラス戸塚2F,1台
モーリーファンタジールララ港北店,神奈川県横浜市都筑区中川中央2-2-1 ルララこうほく4F,1台
モーリーファンタジー三ツ境店,神奈川県横浜市瀬谷区三ツ境7-1 ダイエー三ツ境,2台
モーリーファンタジー本牧店,神奈川県横浜市中区本牧原７－１ イオン本牧５階,1台
モーリーファンタジー東戸塚店,神奈川県横浜市戸塚区品濃町535-1 イオン東戸塚3F,3台
モーリーファンタジー横浜新吉田店,神奈川県横浜市港北区新吉田東八丁目４９番１号 イオン横浜新吉田２階,2台
モーリーファンタジー港北店,神奈川県横浜市都筑区中川中央1-31-1-5083 都筑阪急5階,2台
モーリーファンタジー港南台店,神奈川県横浜市港南区港南台3-1-2 ダイエー港南台,1台
モーリーファンタジー金沢八景店,神奈川県横浜市金沢区泥亀1-27-1 ダイエー金沢八景,2台
ヨドバシカメラマルチメディア京急上大岡,神奈川県横浜市港南区上大岡西１－６－１ 京急百貨上大岡８Ｆ,2台
ヨドバシカメラマルチメディア横浜,神奈川県横浜市西区北幸１－２－７ ヨドバシカメラマルチメディア横浜６Ｆゲームホビー,4台
ライフ鶴見店,神奈川県横浜市鶴見区北寺尾２－１９ ライフ鶴見,1台
西友鶴見店,神奈川県横浜市鶴見区豊岡町２－１ 西友鶴見,1台
ＣＬＵＢＳＥＧＡ新杉田,神奈川県横浜市磯子区杉田１丁目１‐１ らびすた新杉田２Ｆ,1台
タイトーステーションイトーヨーカドー横浜別所店,神奈川県横浜市南区別所１－１１５－２ イトーヨーカドー横浜別所２Ｆ,1台
プラサカプコン横須賀店,神奈川県横須賀市若松町２－３０ モアーズシティ４階ゲームコーナー,1台
モーリーファンタジー久里浜店,神奈川県横須賀市久里浜５丁目１３－１ イオン久里浜３階,3台
モーリーファンタジー横須賀店,神奈川県横須賀市本町2-1-12 ショッパーズプラザ横須賀,2台
リヴィンよこすかキッズ・パーク,神奈川県横須賀市平成町３－２１－４ 西友リヴィンよこすか,1台
西友リヴィンよこすか店,神奈川県横須賀市平成町３－２１－４ 西友リヴィンよこすか,2台
ららぽーと海老名 ノジマららぽーと海老名店内玩具コーナー,神奈川県海老名市扇町13番1号 ららぽーと海老名,1台
アイカツスターズ!オフィシャルショップマルイファミリー海老名店,神奈川県海老名市中央1-6-1 マルイファミリー海老名店4階,4台
イオン海老名店,神奈川県海老名市中央２－４－１ イオン海老名,2台
タイトーステーション海老名ビナウォーク店,神奈川県海老名市中央1ー18-1 ビナウォーク6番館2F,2台
ハローズガーデン海老名店,神奈川県海老名市中央２－４－１ イオン海老名２階,1台
プリモピアさがみ野,神奈川県海老名市東柏ケ谷5-14-6 マルエツさがみ野店2F,1台
namcoイオン相模原店,神奈川県相模原市南区古淵2-10-1 イオン相模原,1台
namcoダイエー上溝店,神奈川県相模原市中央区上溝5-14-19,1台
アドアーズ橋本店,神奈川県相模原市緑区橋本３－３－１ ＳＩＮＧ橋本２階,1台
アピナ橋本店,神奈川県相模原市緑区西橋本５－１－１ アピナ橋本１階,1台
イトーヨーカドーアリオ橋本店,神奈川県相模原市緑区大山町1-22 アリオ橋本,3台
イトーヨーカドー古淵店,神奈川県相模原市南区古淵３－１３－３３ イトーヨーカドー古淵,1台
イトーヨーカドー相模原店,神奈川県相模原市南区松が枝町１７－１ イトーヨーカドー相模原,1台
エブリデイFUNハウスこころっこアリオ橋本店,神奈川県相模原市緑区大山町１－２２ アリオ橋本２階（２３５区画）　エブリデイＦＵＮハウス,2台
コピオ相模原インター店,神奈川県相模原市緑区川尻１４４７－５ コピオ相模原インター,1台
セガワールド古淵,神奈川県相模原市南区古淵３－１３－３３ イトーヨーカドー古淵３Ｆ,2台
ニコパ相模原店,神奈川県相模原市南区大野台６－１－１ ニトリモール相模原３Ｆ,1台
ビックカメラ相模大野駅店,神奈川県相模原市南区相模大野3-8-1 相模大野ステーションスクエアB館6階,2台
モーリーファンタジーイオン相模原店,神奈川県相模原市南区古淵２－１０－１ イオン相模原３階,3台
モーリーファンタジー相模原小山店,神奈川県相模原市中央区小山３－３７－１ コ－ナン相模原小山モ－ル２階,1台
モーリーファンタジー秦野店,神奈川県秦野市入船町１２－１ イオン秦野２階,3台
MEGAドン・キホーテ綾瀬店,神奈川県綾瀬市大上 2-1-1,1台
ハローズガーデン綾瀬店,神奈川県綾瀬市深谷３７３４－１ 綾瀬タウンヒルズショッピングセンター２階,1台
モーリーファンタジー湘南茅ヶ崎店,神奈川県茅ヶ崎市茅ヶ崎2-7-71 イオンスタイル湘南茅ヶ崎2階,1台
モーリーファンタジー茅ヶ崎中央店,神奈川県茅ヶ崎市茅ヶ崎3-5-16 イオン茅ヶ崎中央,3台
MrMax湘南藤沢店,神奈川県藤沢市辻堂新町４－３－５ ＭｒＭＡＸ湘南藤沢ショッピングセンター,1台
SOYU Game Field湘南店,神奈川県藤沢市辻堂新町4-1-1 湘南モ-ルフィル2階,1台
イトーヨーカドー湘南台店,神奈川県藤沢市石川６－２－１ イトーヨーカドー湘南台,2台
イトーヨーカドー藤沢店,神奈川県藤沢市鵠沼石上１－１０－１ イトーヨーカドー藤沢,1台
タイトーステーション藤沢店,神奈川県藤沢市南藤沢21-1,1台
ドラマ藤沢店,神奈川県藤沢市本藤沢５－６－８ ドラマ藤沢,2台
ハローズガーデン湘南とうきゅう,神奈川県藤沢市遠藤字滝ノ沢６９８－１０ 湘南とうきゅう２Ｆ,1台
ビックカメラ藤沢店,神奈川県藤沢市藤沢５５９ ビックカメラ藤沢,3台
楽市楽座湘南藤沢店,神奈川県藤沢市辻堂新町４－３－５ ＭｒＭＡＸ湘南藤沢ショッピングセンター２階,1台
イトーヨーカドー大船店,神奈川県鎌倉市大船６－１－１ イトーヨーカドー大船,2台
西友二宮店,神奈川県中郡二宮町中里２－６－２８ 西友二宮,1台
スーパーアルプス愛川店,神奈川県愛甲郡愛川町角田５８０ スーパーアルプス愛川,1台
