店名,住所,台数
あひるのたまご岩槻店,埼玉県さいたま市岩槻区本丸３－２０－５３ マミーマート岩槻,1台
イトーヨーカドー大宮宮原店,埼玉県さいたま市北区宮原町１－８５４－１ ステラモール大宮,1台
タイトーステーション大宮店,埼玉県さいたま市大宮区大門町一丁目１番地 タイトーステーション大宮,2台
イトーヨーカドー上福岡東店,埼玉県ふじみ野市大原２－１－３０ イトーヨーカドー上福岡東,1台
イトーヨーカドー埼玉大井店,埼玉県ふじみ野市西鶴ヶ岡１－３－１５ ビバモ－ル埼玉大井,1台
カバロキッズ上福岡東店,埼玉県ふじみ野市大原２－１－３０ イトーヨーカドー上福岡東２Ｆ,1台
ゲームパニック三郷,埼玉県三郷市彦野2-25 ピアラシティ,2台
ファミリーランド上尾店,埼玉県上尾市 谷津 2-1-1 ショーサンプラザ5F,1台
ラウンドワンスタジアム上尾店,埼玉県上尾市大字平塚917番地1,1台
セガワールド入間,埼玉県入間市東藤沢２－１８ セガワールド入間,2台
HEYWORLD北本店,埼玉県北本市深井6-87 HeyWorld1階プレビプレイランド,1台
ライフ吉川駅前店,埼玉県吉川市保１－１３－３ ライフ吉川駅前,1台
キッズプラザきゃらんど富士見店,埼玉県富士見市山室１－１３１３ ららぽーと富士見２階,2台
あそびライブラリー川口店,埼玉県川口市宮町18-9 ララガーデン川口 2F,1台
セガワールド川口,埼玉県川口市東領家２－２－１０ セガワールド川口,1台
WonderGOO川越店,埼玉県川越市大字小室３８５－１ ＷｏｎｄｅｒＧＯＯ川越,1台
ゲームシティプラス川越店,埼玉県川越市泉町1-1 ウニクス南古谷1F,1台
丸広百貨店わんぱくランド,埼玉県川越市新富町２－６－１ 丸広百貨,1台
ｎａｍｃｏイオン北戸田店,埼玉県戸田市美女木東１－３－１ イオン北戸田,2台
アミュージアム所沢店,埼玉県所沢市小手指台23-1,1台
ライフ新座店,埼玉県新座市栗原４－１２－２５ ライフ新座,1台
ベイシア日高店ファミリーランドあそびのくに,埼玉県日高市森戸新田８８－５ ベイシアひだかモール,1台
マルエツ朝霞店-,埼玉県朝霞市本町1-12-10 マルエツ朝霞,1台
ラウンドワンスタジアム朝霞店,埼玉県朝霞市膝折町2丁目16-10,1台
アピタ東松山店,埼玉県東松山市あずま町４－３ アピタ東松山,2台
スウィーツファンタジーパックン桶川店,埼玉県桶川市桶川郡市計画事業下日比谷東特定土地区画整理事業地内 ベニバナウォーク桶川２Ｆ,1台
ハローズガーデン深谷店,埼玉県深谷市上紫町西４－２－１４ アリオ深谷２階,1台
ゲームパークエムランド籠原,埼玉県熊谷市新堀新田523,1台
キャッツアイ狭山店,埼玉県狭山市入間川イ３１４１ キャッツアイ狭山,2台
ハローズパシオス秩父店-,埼玉県秩父市永田町10-27 パシオス秩父,1台
プラサカプコン羽生店,埼玉県羽生市川崎２－２８１－３ イオンモール羽生２階,2台
モーリーファンタジー羽生店,埼玉県羽生市川崎２丁目２８１番地３ イオンモール羽生３階,3台
ゲオ草加花栗店,埼玉県草加市花栗４－２６－２１ ゲオ草加花栗,1台
プレビ ALCo越谷ショッピングスクエア店,埼玉県越谷市越ヶ谷1-16-1,1台
アミュージアム鴻巣店,埼玉県鴻巣市本町１－１－２ エルミこうのす３Ｆ,2台
ハローズガーデンワカバウォーク店,埼玉県鶴ヶ島市富士見１－２－１ ワカバウォーク北棟２階,1台
わんぱくキッズランドライフ毛呂山店,埼玉県入間郡毛呂山町岩井西3-12-34 ライフ毛呂山2階,2台
