店名,住所,台数
PALO小松島店,徳島県小松島市小松島町領田20 小松島ショッピングプラザルピア1階,2台
アミューズメントパークMG徳島店,徳島県徳島市西新浜町１－４５ マルナカ徳島２階,1台
ふぇすたらんど脇町店,徳島県美馬市脇町拝原１７１１番地１ マルナカ脇町２階ゲームコーナー,1台
フジグラン阿南,徳島県阿南市領家町土倉１０ フジグラン阿南,1台
ナムコランド鳴門店,徳島県鳴門市撫養町大桑島字すべり岩浜４－９ パワーシティ鳴門別棟,1台
namcoフジグラン石井店,徳島県名西郡石井町高川原天神５４４－１ フジグラン石井２Ｆ,2台
フジグラン石井,徳島県名西郡石井町高川原字天神５４４－１ フジグラン石井,1台
おもちゃのイルカ,徳島県板野郡藍住町奥野字東中須８８－の１ ゆめタウン徳島,1台
タイトーステーションフジグラン北島店,徳島県板野郡北島町鯛浜字西ノ須８１－１ フジグラン北島,1台
フジグラン北島,徳島県板野郡北島町鯛浜字西ノ須１７４ フジグラン北島,1台
