店名,住所,台数
楽市楽座イオンモール大阪ドーム店,大阪府大阪市西区千代崎３－１３－１ イオン大阪ドームシティ４階,1台
近鉄百貨店上本町店7F For kids'+b byこぐま,大阪府大阪市天王寺区上本町6-1-55,1台
ｎａｍｃｏ マグスミノエ店,大阪府大阪市住之江区泉１丁目１番８２号 マグスミノエ１Ｆ,1台
宝島 日根野店,大阪府大阪府泉佐野市日根野2496-1,1台
モーリーファンタジー金剛店,大阪府大阪狭山市半田1-35-1 イオン金剛,2台
namcoイオンモール大日店,大阪府守口市大日東町1番18号 イオン大日4階,2台
モーリーファンタジー大日店,大阪府守口市大日東町１－１８ イオン大日,4台
モーリーファンタジー金剛東店,大阪府富田林市向陽台３－１－１ イオン金剛東４階,2台
YAZ寝屋川店,大阪府寝屋川市石津中町25-30 YAZ寝屋川,1台
セガビバモール寝屋川,大阪府寝屋川市寝屋南２－２２－２ ビバモール寝屋川モール,1台
ユーイング 香里園店,大阪府寝屋川市日新町５－５ アル・プラザ香里園,2台
平和堂アル・プラザ香里園,大阪府寝屋川市日新町５－５ アル・プラザ香里園,1台
ぷれいらんど３７３岸和田店,大阪府岸和田市春木若松町２１－１ ラパーク岸和田２階,1台
アミュージアム岸和田店,大阪府岸和田市下松町１－３－１ ウィンディ岸和田内,1台
モーリーファンタジー東岸和田店,大阪府岸和田市土生町２－３２－７ イオン東岸和田２階,2台
ふぇすたらんど東大阪店,大阪府東大阪市西岩田３－２－３ 山陽マルナカ東大阪２Ｆ,1台
わいわいランド東大阪店,大阪府東大阪市吉田下島１－１ イトーヨーカドー東大阪２階,1台
イトーヨーカドー東大阪店,大阪府東大阪市吉田下島１－１ イトーヨーカドー東大阪,1台
セガワールド布施,大阪府東大阪市長堂１－１－１ ロンモール布施,2台
モーリーファンタジー東大阪店,大阪府東大阪市荒本北２丁目３番２２号 イオン東大阪１階,1台
モーリーファンタジー鴻池店,大阪府東大阪市鴻池町１－１－７２ 鴻池イオン２階,1台
レインボーランド若江岩田店,大阪府東大阪市瓜生堂１丁目１０番５２号 イズミヤ若江岩田４階,1台
ＡＧスクエア東大阪店,大阪府東大阪市稲田新町３－９－６４ フレスポ東大阪,1台
namcoくずはモール店,大阪府枚方市楠葉花園町１０―８５ くずはモール２Ｆ,2台
セガニトリモール枚方店,大阪府枚方市北山一丁目2番1号,2台
セガワールド枚方,大阪府枚方市須山町８３－１ サンシャインプラザ枚方,1台
モーリーファンタジー枚方店,大阪府枚方市岡本町７番１－２０３ イオン枚方４階,2台
ユーイング アル・プラザ枚方,大阪府枚方市津田元町１－４－１ アル・プラザ枚方,2台
平和堂アル・プラザ枚方,大阪府枚方市津田元町１－４－１ アル・プラザ枚方,1台
モーリーファンタジー池田駅前店,大阪府池田市満寿美町2-2 ダイエー池田駅前4F,1台
namcoりんくうシークル店,大阪府泉佐野市りんくう往来南３ りんくうタウン,1台
ハローズガーデン泉佐野店,大阪府泉佐野市下瓦屋２－２－７７ ショッパーズモール泉佐野３階,1台
ソユーゲームフィールド泉南店,大阪府泉南市りんくう南浜3-12 イオンモールりんくう泉南2階,1台
モーリーファンタジーりんくう泉南店,大阪府泉南市りんくう南浜３－１２ イオンモールりんくう泉南２階,3台
泉大津フタバボウル,大阪府泉大津市松之浜町１丁目２番５３号 泉大津フタバボウル,1台
NAMCOLANDみのおキューズモール,大阪府箕面市西宿１－１７－２２ みのおキューズモール３階,1台
イオン新茨木店,大阪府茨木市中津町１８－１ イオン新茨木,1台
モーリーファンタジー・f茨木店,大阪府茨木市松ヶ本町８－３０－５ イオン茨木４階,2台
モーリーファンタジー茨木店,大阪府茨木市松ヶ本町８－３０－３ イオン茨木,3台
ユーイング 茨木店,大阪府茨木市上郡２－１２－８ アル・プラザ茨木,1台
平和堂アル・プラザ茨木,大阪府茨木市上郡２－１２－８ アル・プラザ茨木,1台
トイザらス藤井寺店,大阪府藤井寺市岡２－８－４１ ソリヤ２Ｆ,1台
ＣＬＵＢＳＥＧＡ藤井寺,大阪府藤井寺市沢田１丁目２０－８ ＣＬＵＢＳＥＧＡ藤井寺,1台
セガ 新三国アルゴ7店,大阪府豊中市神州町１－１５ セガ新三国アルゴ７,1台
モーリーファンタジー曽根店,大阪府豊中市曽根東町3-3-1 ダイエー曽根,1台
チャイルズ　貝塚店,大阪府貝塚市小瀬９１－１ ユニチカオークタウン貝塚,1台
モーリーファンタジー貝塚店,大阪府貝塚市地蔵堂７４－２ イオン貝塚,1台
モーリーファンタジー古川橋駅前店,大阪府門真市末広町４１－２ ダイエー古川橋駅前,2台
モーリーファンタジー摂津富田店,大阪府高槻市大畑町13-1 ダイエー摂津富田2F,2台
モーリーファンタジー高槻店,大阪府高槻市萩之庄３－４７－２ イオン高槻３階,3台
ラウンドワンスタジアム高槻店,大阪府高槻市辻子３丁目６番４号 ラウンドワンスタジアム高槻,1台
平和堂アル・プラザ高槻,大阪府高槻市芥川町１－２C－２０１ アクトアモーレ,1台
