店名,住所,台数
ラウンドワン宮崎店,宮崎県宮崎市中村東３丁目４−６０,3台
サンゲームス都城北店,宮崎県都城市上川東４丁目５９９７−４,3台
マンガ倉庫　加納店,宮崎県宮崎市清武町加納乙２４０,3台
