店名,住所,台数
あみぱらんど福山店,広島県福山市三吉町南２−８−２４,3台
福山メトロポリス,広島県福山市一文字町２４−１,3台
ラウンドワン福山店,広島県福山市明神町１丁目９番２８号,2台
タイトーステーション広島紙屋町,広島県広島市中区紙屋町２−２−２１,3台
ラウンドワン広島店,広島県広島市中区立町３−１１,3台
プラサカプコン広島店,広島県広島市佐伯区石内東４丁目外　ジ　アウトレット広島,3台
ギガゾーン広島駅前店,広島県広島市南区松原町２−２２　５Ｆ,9台
ナムコランド広島店,広島県安芸郡府中町大須２−１−１　イオンモール広島府中内　３Ｆ,3台
スペースＶ１廿日市,広島県廿日市市本町４−２３,3台
アミパラここじゃ,広島県東広島市西条町下見６−１０−１９　山手電機内,3台
