店名,住所,台数
アムズ・下通り店,熊本県熊本市中央区手取本町４−１２,3台
サンゲームス熊本インタープラザ,熊本県熊本市東区御領８丁目４番８２号,3台
スポラ九品寺,熊本県熊本市九品寺5丁目10番15号,3台
ｎａｍｃｏＷシティ南熊本店,熊本県熊本市中央区九品寺６丁目９−１,3台
パスカワールド　グリーンランド,熊本県荒尾市本井手１５７４番５４,3台
マンガ倉庫　八代店,熊本県八代市沖町３９８９−１,3台
パスカワールド宇土店,熊本県宇土市善道寺町綾織９５,3台
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代２６１７番２,3台
