店名,住所,台数
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町２０７２−１,3台
キラキラＡｓｏｂｏｘ宇都宮店,栃木県宇都宮市川田町１００−１　ソーレ２１　２Ｆ,3台
プラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６−１　Ｐ＆Ｄビル２Ｆ,3台
タイトーララスクエア宇都宮店,栃木県宇都宮市駅前通り１−４−６,3台
アピナ小山店,栃木県小山市駅南町４−２７−１８,3台
ｎａｍｃｏフェドラＰ＆Ｄ佐野店,栃木県佐野市高萩町１３４０番地,3台
