店名,住所,台数
ラウンドワン青森店,青森県青森市浜田３丁目１番１号,3台
ゲームフェスタミタマ,青森県弘前市駅前町５番地５,3台
スペースファンタジーインフィニ,青森県弘前市城東北３丁目１０番地１　さくら野百貨店弘前店　４Ｆ,3台
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１　イオンモール下田　１Ｆ,3台
