店名,住所,台数
スタジオプリモ甲府店,山梨県甲府市丸の内１−１６−２０　ＫｏＫｏｒｉ　２Ｆ,3台
ゲームパニック甲府,山梨県甲府市国母５−２０−２４,2台
楽市楽座イオンモール甲府店,山梨県中巨摩郡昭和町飯喰１５０５−１　イオンモール甲府昭和店　２階,3台
プラサカプコン甲府店,山梨県中巨摩郡昭和町西条字北河原３７１７番地,3台
