店名,住所,台数
タイトーアミュプラザおおいた店,大分県大分市要町１−１４　アミュプラザおおいた４Ｆ,3台
トライセン萩原店,大分県大分市萩原４丁目２２７−７　ＡＣＳ３Ｆ,3台
トライセン中津店,大分県中津市下池永６７−３,3台
ユーズランド三光店,大分県中津市三光佐知１０３２　イオンモ−ル三光　２Ｆ,3台
