店名,住所,台数
ラウンドワン京都河原町店,京都府京都市中京区河原町通三条下ル山崎町２５０,3台
ＧＡＭＥ　ＰＡＮＩＣ京都,京都府京都市中京区桜之町４１５　京都松竹座ビル,2台
サードプラネットＢ京都二条店,京都府京都市中京区西ノ京栂尾町１−６,3台
