店名,住所,台数
モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０,0台
げーむぱーくぎゃらくしー,北海道札幌市白石区東札幌三条１丁目１−１,0台
モーリーファンタジー名寄,北海道名寄市字徳田８０番地１イオンＳＣ２Ｆ,0台
ＰＡＬＯ苫小牧,北海道苫小牧市糸井１３５−１　トライアルＧ棟,0台
イトーヨーカドー北見,北海道北見市光西町１８５玩具売場,0台
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７丁目２番５号　イオンモール旭川駅前４Ｆ,0台
ビックカメラ札幌,北海道札幌市中央区北五条西２−１　札幌ＥＳＴＡ　ＪＲタワー４Ｆ,0台
モーリーファンタジー旭川パルプ,北海道旭川市パルプ町１条２丁目５０５番地２ショッピングセンターパルプタウン内１Ｆ,0台
イオン余市,北海道余市郡余市町黒川町１２−６２−１　玩具売場,0台
らんらんらんど岩見沢,北海道岩見沢市９条西２０丁目１−２,0台
イオン紋別,北海道紋別市花園町３−４−３９　玩具売場,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ旭川西,北海道旭川市北海道旭川市緑町二十三丁目２１６１番地３イオンモール旭川西３Ｆ,0台
スガイディノス帯広,北海道帯広市白樺１６条西２丁目ドリームタウン白樺内,0台
西條百貨店名寄,北海道名寄市西４条南８丁目１,0台
西條士別,北海道士別市大通東１６丁目３１４３,0台
ＢＥＳＴＯＭ中富良野,北海道空知郡中富良野町字中富良野東１線北１７号,0台
アクロスプラザたきかわ,北海道滝川市南滝の川１１５−４,0台
東武イーストモール端野,北海道北見市端野町三区５７２番地１,0台
ファンタジーキッズリゾート新さっぽろ,北海道札幌市厚別区厚別中央二条５−７−２サンピアザ１Ｆ,0台
ＢＯＯＫＮＥＴＯＮＥ旭川マルカツ,北海道旭川市２条通７丁目２２７番地の１マルカツデパート４階,0台
ＢＯＯＫＯＦＦ北見メッセ,北海道北見市中央三輪５−４２３−１８,0台
千歳アウトレットモール博品館レラ,北海道千歳市柏台南1丁目２−１千歳アウトレットモールレラ１６４０区画,0台
メガドンキホーテ苫小牧,北海道苫小牧市木場町１−６−１,0台
メガドンキホーテ西帯広,北海道帯広市21条南４−１,0台
