店名,住所,台数
トイザらス府中駅前,東京都府中市宮町１−５０　くるるＢ１Ｆ,0台
西友ＬＩＶＩＮ田無,東京都西東京市田無町２−１−１　玩具売場,0台
モーリーファンタジー小平,東京都小平市小川東町２−１２−１,0台
西友清瀬,東京都清瀬市元町１−４−５　玩具売場,0台
ＪＯＹＦＵＬ−２瑞穂,東京都西多摩郡瑞穂町殿ヶ谷４４２　玩具売場,0台
トイザらス・ベビーザらス武蔵村山,東京都西多摩郡瑞穂町大字殿ケ谷７２９−２,0台
西友河辺,東京都青梅市河辺町１０−９−１　玩具売場,0台
トイザらス昭島,東京都昭島市田中町５７３−１−４　モリタウン内,0台
ダイエー武蔵村山,東京都武蔵村山市伊奈平３−３６−１　玩具売場,0台
西友福生,東京都福生市東町５−１　玩具売場,0台
京王百貨店聖蹟桜ヶ丘,東京都多摩市関戸１−１０−１京王百貨店　聖蹟桜ヶ丘店　７Ｆ玩具売場,0台
トイザらス多摩,東京都多摩市東寺方６６０−１,0台
タイトーＦステーションオリナス錦糸町,東京都墨田区太平４−１−２　オリナスモール地下１階,0台
キャッツアイ西葛西,東京都江戸川区西葛西４−２−２８　サニーモール西葛西店３Ｆ,0台
イトーヨーカドー小岩,東京都江戸川区西小岩１−２４−１玩具売場,0台
イトーヨーカドー大井町,東京都品川区大井１−３−６玩具売場,0台
イトーヨーカドー竹の塚,東京都足立区竹の塚５−１７−１玩具売場,0台
イトーヨーカドー大森,東京都大田区大森北二−１３−１玩具売場,0台
イトーヨーカドー国領,東京都調布市国領町８−２−６４玩具売場,0台
博品館ＴＯＹＰＡＲＫ,東京都中央区銀座８−８−１１　３階玩具売場,0台
イトーヨーカドー金町,東京都葛飾区東金町１−１０−８,0台
サンポップマチヤ,東京都荒川区荒川７−５０−９,0台
タイトーステーション池袋西口,東京都豊島区西池袋１−１５−９,0台
レジャーランド秋葉原１号,東京都千代田区外神田１−９−５,0台
タイトーステーションＢＩＧＢＯＸ高田馬場,東京都新宿区高田馬場１−３５−３,0台
タイトーステーション町田,東京都町田市原町田６−２１−２３,0台
ヨドバシカメラマルチメディア錦糸町,東京都墨田区江東橋３−１４−５錦糸町ステーションビル内　玩具売場,0台
モーリーファンタジー葛西,東京都江戸川区西葛西３−９−１９　イオン３Ｆ,0台
ヨドバシカメラマルチメディア上野,東京都台東区上野４−１０−１０　玩具売場,0台
ヨドバシカメラマルチメディアＡｋｉｂａ,東京都千代田区神田花岡町１−１　玩具売場,0台
ヨドバシカメラマルチメディア新宿東口,東京都新宿区新宿３−２６−７　玩具売場,0台
ヨドバシカメラ新宿西口本店,東京都新宿区西新宿１−１１−１ゲームホビー館　玩具売場,0台
イトーヨーカドー拝島,東京都昭島市松原町３−２−１２玩具売場,0台
イトーヨーカドー昭島,東京都昭島市田中町５６２−１玩具売場,0台
セガイオンモールむさし村山,東京都武蔵村山市榎１−１−３−２０５９,0台
タイトーステーション新宿東口,東京都新宿区新宿３−２２−７,0台
イトーヨーカドー東久留米,東京都東久留米市本町３−８−１玩具売場,0台
イトーヨーカドー東村山,東京都東村山市本町２−２−１９玩具売場,0台
イトーヨーカドー東大和,東京都東大和市桜が丘２−１４２−１玩具売場,0台
ソユープレイランドソピア八王子,東京都八王子市狭間町１４６２−１　イトーヨーカドー八王子店３Ｆ,0台
イトーヨーカドー八王子,東京都八王子市狭間町１４６２−１玩具売場,0台
ヨドバシカメラ八王子,東京都八王子市東町７−４　玩具売場,0台
イトーヨーカドー多摩センター,東京都多摩市落合１−４４玩具売場,0台
ヨドバシカメラマルチメディア町田,東京都町田市原町田１−１−１１　玩具売場,0台
イトーヨーカドー南大沢,東京都八王子市南大沢２−２８−１玩具売場,0台
イトーヨーカドー武蔵小金井,東京都小金井市本町６−１４−９玩具売場,0台
ヨドバシカメラマルチメディア吉祥寺,東京都武蔵野市吉祥寺本町１−１９−１　玩具売場,0台
イトーヨーカドー武蔵境,東京都武蔵野市境南町２−２−２０玩具売場,0台
キデイランド光が丘,東京都練馬区光が丘５−１−１光が丘ＩＭＡ２Ｆ　玩具売場,0台
イトーヨーカドー綾瀬,東京都足立区綾瀬３−４−２５玩具売場,0台
イトーヨーカドー赤羽,東京都北区赤羽西１−７−１玩具売場,0台
ヤマダ電機ＩＫＥＢＵＫＵＲＯアウトレット・リユースＴＡＸＦＲＥＥ,東京都豊島区東池袋１−４１−１,0台
イトーヨーカドー高砂,東京都葛飾区高砂３−１２−５玩具売場,0台
イトーヨーカドー四つ木,東京都葛飾区四つ木２−２１−１玩具売場,0台
イトーヨーカドーアリオ亀有,東京都葛飾区亀有３−４９−３玩具売場,0台
イトーヨーカドー葛西,東京都江戸川区東葛西９−３−３玩具売場,0台
セガワールド葛西,東京都江戸川区東葛西９−３−３　イトーヨーカドー葛西店３Ｆ,0台
イトーヨーカドーアリオ北砂,東京都江東区北砂２−１７玩具売場,0台
イトーヨーカドー木場,東京都江東区木場１−５−３０玩具売場,0台
モーリーファンタジー日の出,東京都西多摩郡日の出町大字平井字三吉野桜木５５７番地イオン３Ｆ,0台
イトーヨーカドーアリオ西新井,東京都足立区西新井栄町１丁目２０番１号玩具売場,0台
セガワールド府中,東京都府中市西原町１−６−２　府中クレッセ内,0台
モーリーファンタジー東久留米,東京都東久留米市南沢５丁目１７イオン３Ｆ,0台
ＣＬＵＢＳＥＧＡ立川,東京都立川市紫崎町３−２−１　サザンビル１Ｆ,0台
セガ竹の塚,東京都足立区竹の塚６丁目８番,0台
タイトーステーション祖師ヶ谷大蔵,東京都世田谷区砧８−１０番１号,0台
伊勢丹府中,東京都府中市宮町１−４１−２　伊勢丹府中店７Ｆ,0台
モーリーファンタジー板橋,東京都板橋区徳丸２丁目６番地１　　イオン３Ｆ,0台
ＭＥＧＡドン・キホーテ立川,東京都立川市曙町２−１８−１８,0台
ビックカメラＪＲ八王子駅,東京都八王子市八王子市旭町１−１７　トイズコーナー,0台
ビックカメラ立川,東京都立川市曙町２−１２−２,0台
ビックカメラ赤坂見附駅,東京都港区赤坂３−１−６,0台
ビックカメラ有楽町本館,東京都千代田区有楽町１−１１−１　３Ｆ玩具売場,0台
ビックカメラ新宿西口,東京都新宿区西新宿１−５−１　ハルク５Ｆ　トイズコーナー,0台
ビックカメラビックロ新宿東口,東京都新宿区新宿３−２９−１,0台
ビックカメラ池袋西口,東京都豊島区西池袋１−１６−３,0台
イオン板橋,東京都板橋区徳丸２−６−１玩具売場,0台
イオンむさし村山,東京都武蔵村山市榎１−１−３玩具売場,0台
イオン東久留米,東京都東久留米市南沢５−１７玩具売場,0台
イオン日の出,東京都西多摩郡日の出町平井字三吉野桜木２３７−３玩具売場,0台
レジャーランドお台場メディアージュ,東京都港区台場１−７−１,0台
イオン品川シーサイド,東京都品川区東品川４−１２−５玩具売場,0台
イオン東雲,東京都江東区東雲１−９−１０玩具売場,0台
イエローサブマリン秋葉原本店★ミント,東京都千代田区外神田１−１５−１６ラジオ会館６Ｆ,0台
イオン西新井,東京都足立区梅島３−３２−７玩具売場,0台
ＧＡＭＥピーアーク青井,東京都足立区一ツ家３−８−１２,0台
ヤマダ電機テックランド町田本店,東京都町田市旭町１−２４−１,0台
ヨークマート東村山,東京都東村山市恩多町５−４７−５,0台
ヤマダ電機ＬＡＢＩ吉祥寺,東京都武蔵野市吉祥寺南２−３−１３,0台
タイトーステーション多摩センター,東京都多摩市落合１−４５−１,0台
○×△□（ラくトス）,東京都葛飾区新小岩１−４４−６,0台
Ａｓｏｂｏｘ八王子みなみ野,東京都八王子市みなみ野１−８−１ＢＯＯＫＯＦＦ内タイトー,0台
西友深沢,東京都世田谷区深沢１−８−１玩具売場,0台
ミスターマックス町田多摩境,東京都町田市小山ヶ丘６−１−１０,0台
ヤマダ電機テックランド稲城若葉台,東京都稲城市若葉台２−８,0台
ライフ府中中河原,東京都府中市住吉町１−８４−１　玩具売場,0台
仔熊ららぽーと立川立飛,東京都立川市泉町９３５−１ららぽーと立川立飛１Ｆノジマ内玩具コーナー,0台
ハローズガーデン東大和,東京都東大和市桜が丘２−１４２−１イトーヨーカ堂東大和店２階,0台
ハローズガーデンあきる野東急,東京都あきる野市秋川１−１７−１あきる野東急４Ｆ,0台
東急本店,東京都渋谷区道玄坂２−２４−１東急百貨店　本店　６Ｆ玩具売場,0台
ドン・キホーテ八王子駅前,東京都八王子市中町１−３,0台
ユーズランド日の出,東京都西多摩郡日の出町大字平井字三吉野桜木２３７−３　イオンモール日の出３Ｆ,0台
ドン・キホーテ北池袋,東京都豊島区池袋本町２−７−５,0台
ドン・キホーテラパーク瑞江,東京都江戸川区瑞江２−１−２,0台
ドラマ八王子高倉,東京都八王子市高倉町５５−４,0台
ドラマ瑞穂,東京都西多摩郡瑞穂町武蔵３８２−１,0台
フェドラＢＩＧＦＵＮ平和島,東京都大田区平和島１−１−１ＢＩＧＦＵＮ平和島３Ｆ,0台
キッズトレイン成績桜ヶ丘,東京都多摩市関戸１−１０−１　京王聖蹟桜ヶ丘ショッピングセンターＡ館８Ｆ,0台
ヤマダ電機ＬＡＢＩ新宿東口館,東京都新宿区新宿３−２３−７,0台
ヤマダ電機テックランド足立,東京都足立区平野２−１−５,0台
ヤマダ電機テックランドＮｅｗ八王子別所,東京都八王子市別所２−５６,0台
ヤマダ電機テックランド東京本店,東京都世田谷区上北沢５−３７−１８,0台
ＣＬＵＢＳＥＧＡ自由ヶ丘,東京都目黒区自由ヶ丘２−１０−９,0台
ＣＬＵＢＳＥＧＡ秋葉原新館,東京都千代田区外神田一丁目１１番１１号外神田１丁目ビルディング,0台
ＣＬＵＢＳＥＧＡ新宿西口,東京都新宿区西新宿１−１２−５,0台
ハイテクランドセガシブヤ,東京都渋谷区渋谷１−１４−１４,0台
セガワールドアルカス,東京都府中市宮西町２−５−１　さくら三番館,0台
セガワールド船堀,東京都江戸川区船堀１−６−１１,0台
ハローズガーデン武蔵小金井,東京都小金井市本町６−１４−９イトーヨーカドー武蔵小金井店４Ｆ,0台
ハローズガーデン墨田文化,東京都墨田区文花１−３１−９オリンピック墨田文花店１Ｆ,0台
ゲオ鹿浜,東京都足立区谷在家２丁目１１番２号,0台
セガワールド東大和,東京都東大和市桜が丘１−１３３０−１９　ＢＩＣＢＯＸ東大和１Ｆ,0台
ダイエー東大島,東京都江東区大島７−３８−３０ダイエー東大島店３Ｆ,0台
ライフ千歳烏山,東京都世田谷区南烏山５−３２−１,0台
西友青井,東京都足立区青井３−１−１,0台
シルクハット蒲田Ｍ２,東京都大田区西蒲田７−６−３　プリンス会館,0台
ライフ東中野,東京都中野区東中野３−９−７,0台
タイトーステーション立川北口,東京都立川市曙町２−４−５クリサス立川,0台
ライフ落合南長崎駅前,東京都豊島区南長崎４−５−２０,0台
プリズムストーン プリパラショップ 東京駅店,東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ｷｬﾗｸﾀｰｽﾄﾘｰﾄ内,0台
イオンファンタジーむさし村山,東京都武蔵村山市榎１丁目１番３号イオン３Ｆ,0台
