店名,住所,台数
ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＦＩＥＬＤ,大阪府吹田市千里万博公園２−１ららぽーとＥＸＰＯＣＩＴＹ３Ｆ,0台
ＣＬＵＢＳＥＧＡ藤井寺,大阪府藤井寺市沢田１−２０−８,0台
イトーヨーカドーアリオ八尾,大阪府八尾市光町２−３玩具売場,0台
タイトーＦステーション住道,大阪府大東市赤井１丁目４番３号,0台
モーリーファンタジー鴻池,大阪府東大阪市鴻池町１−１−７２　イオン２Ｆ,0台
ＡＧスクエア東大阪,大阪府東大阪市稲田新町３−９−６４,0台
イトーヨーカドー東大阪,大阪府東大阪市吉田下島１−１玩具売場,0台
イトーヨーカドーアリオ鳳,大阪府堺市西区鳳南町３−１９９−１２玩具売場,0台
ヨドバシカメラマルチメディア梅田,大阪府大阪市北区大深町１−１　玩具売場,0台
モーリーファンタジーりんくう泉南,大阪府泉南市りんくう南浜３−１イオン２Ｆ,0台
ＳＯＹＵＧＡＭＥＦＩＥＬＤ泉南,大阪府泉南市りんくう南浜３番１２　イオンモールりんくう泉南２Ｆ,0台
モーリーファンタジー高槻,大阪府高槻市萩之庄３−４７−２　イオン３Ｆ,0台
セガビバモール寝屋川,大阪府寝屋川市寝屋南二丁目２２番地２号　ビバモール寝屋川　モール棟２Ｆ,0台
モーリーファンタジー金剛,大阪府大阪狭山市半田１−３５−１,0台
モーリーファンタジー南千里,大阪府吹田市千里山西６−５６−１　イオン４Ｆ,0台
イトーヨーカドー津久野,大阪府堺市西区下田町２０−１玩具売場,0台
モーリーファンタジー東大阪,大阪府東大阪市荒本北２丁目３番２２号イオン１Ｆ,0台
セガ今福,大阪府大阪市城東区今福東１−９−３４,0台
ジョーシン新石切,大阪府東大阪市弥生町１６−１２　ホームセンターコーナン２Ｆ,0台
モーリーファンタジー四條畷,大阪府四條畷市砂四丁目３番２号イオンスタイル３Ｆ,0台
タイトーステーション大阪日本橋,大阪府大阪市浪速区日本橋４−９−１４,0台
セガ新三国アルゴ７,大阪府豊中市神州町１−１５,0台
モーリーファンタジー金剛東,大阪府富田林市向陽台３−１−１　イオン４Ｆ,0台
モーリーファンタジー新金岡,大阪府堺市北区新金岡町４−１−１１イオン３Ｆ,0台
セガワールド和泉,大阪府和泉市肥子町２−４−４１,0台
イオン箕面,大阪府箕面市西宿１−１５−３０玩具売場,0台
なんばＡ,大阪府大阪市浪速区日本橋３−８−１６,0台
イオン野田阪神,大阪府大阪市福島区海老江１−１−２３　イオン４Ｆ玩具売場,0台
イオン和泉府中,大阪府和泉市肥子町２−２−１玩具売場,0台
イオン布施駅前,大阪府東大阪市長堂１−８−３７玩具売場,0台
イオン大阪ＤＣ,大阪府大阪市西区千代崎３−１３−１玩具売場,0台
イオン茨木,大阪府茨木市松ヶ本町８−３０−３玩具売場,0台
イオン堺北花田,大阪府堺市北区東浅香山町４丁１−１２玩具売場,0台
イオンりんくう泉南,大阪府泉南市りんくう南浜３−１２玩具売場,0台
イズミヤ古市,大阪府古市翠鳥園３９５−１玩具売場,0台
堺タカシマヤ,大阪府堺市堺区三国ヶ丘御幸通５９番地７階玩具売場,0台
モーリーファンタジー長吉,大阪府大阪市平野区長吉長原西１−１−１０,0台
ジョーシン岸和田,大阪府岸和田市作才町１−３−１２,0台
ジョーシン平野うりわり,大阪府大阪市平野区瓜破４−２−８,0台
