店名,住所,台数
ふぇすたらんど田川,福岡県田川市大字川宮１６９３−１　サンリブ田川店内,0台
タイトーステーションリバーウォーク,福岡県北九州市小倉北区室町１ー１−１,0台
ベレッサランド筑紫野,福岡県筑紫野市美しが丘南１−１２−１　筑紫野ベレッサ２Ｆ,0台
楽市街道箱崎,福岡県福岡市東区箱崎５丁目１番８号,0台
楽市街道くるめ,福岡県久留米市新合川２丁目７番１０号久留米アミューズメントビル内,0台
楽市楽座イオンモール福岡,福岡県糟屋郡粕屋町大字酒殿字老ノ木１９２番地１イオンモール福岡店２階,0台
楽市楽座イオンモール筑紫野,福岡県筑紫野市立明寺４３４−１イオンモール筑紫野店３階,0台
楽市楽座イオンモール大牟田,福岡県大牟田市岬町３番４イオンモール大牟田店２階,0台
楽市楽座イオンモール福津,福岡県福津市日蒔野６丁目１６番地の１イオンモール福津店３階,0台
楽市楽座イオンモール福岡伊都,福岡県福岡市西区北原１丁目３番１号イオンモール福岡伊都店別館,0台
スペースタイム２５イオン甘木,福岡県朝倉市甘木岩入３８０番地イオン甘木２階,0台
ペリカン遠賀,福岡県遠賀郡遠賀町松の本１−１−１ゆめタウン２Ｆ玩具売場,0台
エディオン八幡黒崎,福岡県北九州市八幡西区東曲里町２−１６,0台
ミスターマックス八幡東,福岡県北九州市八幡東区東田１丁目４番２号,0台
ミスターマックス橋本,福岡県福岡市西区橋本１丁目１０番７２号,0台
ミスターマックス飯塚花瀬,福岡県飯塚市横田５８１番地６号,0台
ミスターマックス田川バイパス,福岡県田川市大字川宮１６９９番地３号,0台
ミスターマックス大野城,福岡県大野城市瓦田５丁目３番１号,0台
ミスターマックス吉塚,福岡県福岡市東区馬出６丁目１番１０号,0台
イオン大牟田,福岡県大牟田市岬町３−４イオン２Ｆ,0台
楽市楽座サンリブシティ小倉,福岡県北九州市小倉南区上葛原２丁目１４番１サンリブシティ小倉店２階,0台
楽市楽座２１０トリアス,福岡県糟屋郡久山町大字山田９９０,0台
楽市楽座砂津,福岡県北九州市小倉北区砂津３丁目１−１チャチャタウン小倉店Ｂ棟３階,0台
楽市楽座イオン小郡,福岡県小郡市大保字弓場１１０イオン小郡ショッピングセンター内,0台
パスカワールド大牟田,福岡県大牟田市旭町２丁目２８−１ゆめタウン大牟田店２Ｆ,0台
パスカランド黒崎,福岡県北九州市八幡西区西曲里町３−１　イオンタウン黒崎店内,0台
ジーカム和白,福岡県福岡市東区和白３−２７−６９,0台
ゆめマート新宮店,福岡県糟屋郡新宮町緑ヶ浜４丁目１８−１　玩具売場,0台
ゲームらんど乙金,福岡県大野城市乙金３丁目２３番１号イオン乙金ＳＣ内北街区Ｂ,0台
