店名,住所,台数
モーリーファンタジー倉敷,岡山県倉敷市水江１番地イオン１Ｆ,0台
こどもやリブ総社,岡山県総社市門田１８７リブ総社２１店内３Ｆ　玩具売場,0台
モーリーファンタジー・ｆ岡山,岡山県岡山市北区下石井１丁目２番１号　イオンモール４Ｆ,0台
こころっこ高梁,岡山県高梁市中原町１０８４番地の１ポルカ天満屋ハッピータウン内２階,0台
モーリーファンタジー水島,岡山県倉敷市水島高砂町３番１１号,0台
モーリーファンタジー津山,岡山県津山市河辺１０００−１イオン２Ｆ,0台
こどもや西大寺,岡山県岡山市西大寺南１−２−１天満屋ハピータウン西大寺店内玩具売場,0台
トイザらス岡山,岡山県岡山市北区岡南町２−６−５２,0台
エディオン倉敷本店,岡山県倉敷市笹沖１２０９−１,0台
岡山ジョイポリス,岡山県岡山市北区下石井２−１０−１,0台
こころっこ児島,岡山県倉敷市児島駅前２−３５天満屋ハピータウン３Ｆ,0台
ビックカメラ岡山駅前,岡山県岡山市北区駅前町１−１−１　トイズコーナー,0台
セガイオンモール岡山,岡山県岡山市北区下石井１丁目１８番１,0台
ユーズランド倉敷,岡山県倉敷市水江一番地　イオンモール倉敷２Ｆ,0台
こころっこ岡南,岡山県岡山市南区築港新町１−１８−５天満屋ハピータウン３Ｆ,0台
こころっこ岡北,岡山県岡山市北区中井町２−２−７天満屋ハピータウン３Ｆ,0台
こころっこ原尾島,岡山県岡山市中区原尾島１−６−２０天満屋ハピータウン３Ｆ,0台
アミパラ岡山,岡山県岡山市北区青江１丁目１３−８,0台
こころっこ玉野,岡山県玉野市宇野１−３８−１天満屋ハピータウン３Ｆ,0台
イオン津山,岡山県津山市河辺１０００−１玩具売場,0台
ふぇすたらんど平島,岡山県岡山市東区東平島１６０９　マルナカ平島店内,0台
ハローズ田ノ上,岡山県倉敷市田ノ上１００８,0台
ハローズ花尻,岡山県岡山市北区白石西新町９−１１６,0台
ハローズ庭瀬,岡山県岡山市北区平野１１００−１,0台
ハローズ笠岡,岡山県笠岡市富岡２３２−１,0台
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎５９９−１２,0台
ミスターマックス岡山西,岡山県岡山市北区久米３１０番地１号,0台
ハローズ中庄,岡山県倉敷市松島９７１−１,0台
ハローズ当新田,岡山県岡山市南区当新田１２６−３,0台
ハローズ江崎,岡山県岡山市中区江崎６９０番地１,0台
ハローズ総社,岡山県総社市井出５９６番地１,0台
ハローズ津高,岡山県岡山市北区津高６４０−１,0台
