店名,住所,台数
ビバ・サーカス茂原,千葉県茂原市高師１７３５　茂原ショッピングプラザアスモ２Ｆ,0台
プラサカプコン富津,千葉県富津市青木一丁目５番地１　イオンモール富津２Ｆ,0台
セガ松戸,千葉県松戸市日暮１−１−１　八柱駅第２ビル２階,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ木更津,千葉県木更津市築地１番４イオンモール木更津２Ｆ,0台
モーリーファンタジー鎌ヶ谷,千葉県鎌ヶ谷市新鎌ヶ谷２丁目７番１号イオン２Ｆ,0台
イトーヨーカドー松戸,千葉県松戸市松戸１１４９玩具売場,0台
イトーヨーカドー八柱,千葉県松戸市日暮１−１５−８玩具売場,0台
イトーヨーカドー津田沼,千葉県習志野市津田沼１−１０−３０玩具売場,0台
ソユープレイランドソピア幕張,千葉県千葉市花見川区幕張町四丁目４１７−２５　イトーヨーカドー幕張店２Ｆ,0台
モーリーファンタジー東習志野,千葉県習志野市東習志野６丁目７−８　イオンタウン１Ｆ,0台
ヨドバシカメラマルチメディア千葉,千葉県千葉市中央区富士見２−３−１　玩具売場,0台
イトーヨーカドーアリオ市原,千葉県市原市更級四丁目３番２玩具売場,0台
モーリーファンタジー千葉長沼,千葉県千葉市稲毛区長沼町３３０−５０ダイエー千葉長沼店１Ｆ,0台
セガ幕張,千葉県千葉市美浜区ひび野１−８　メッセアミューズモール１階,0台
モーリーファンタジーあすみが丘,千葉県千葉市緑区あすみが丘７丁目１あすみが丘ブランニューモール２Ｆ,0台
モーリーファンタジー鎌取,千葉県千葉市緑区おゆみ野３丁目１６番地　イオン３Ｆ,0台
イトーヨーカドー船橋,千葉県船橋市本町７−６−１玩具売場,0台
セガイオンモール銚子,千葉県銚子市三崎町２丁目２６６０−１　イオンモール銚子　２Ｆ,0台
ＳＥＧＡＡＲＥＮＡＳＯＧＡ,千葉県千葉市中央区川崎町５１−１　ハーバーシティ蘇我フェスティバルウォークアミューズメント棟１Ｆ,0台
モーリーファンタジー市川妙典,千葉県市川市妙典５−３−１　　イオン３Ｆ,0台
モーリーファンタジー成田,千葉県成田市ウイング土屋２４番地イオン２Ｆ,0台
セガワールド旭,千葉県旭市二字野場３１５０−１,0台
モーリーファンタジー館山,千葉県館山市八幡５４５−１イオン１Ｆ,0台
