店名,住所,台数
アピタ大口,愛知県丹羽郡大口町丸２丁目３６番地　玩具売場,0台
ピアゴ尾西,愛知県一宮市小信中島東鵯平５９,0台
アピタ蒲郡,愛知県蒲郡市港町１７番１０号　玩具売場,0台
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町４０　イオン３Ｆ,0台
平和堂江南,愛知県江南市上奈良町栄６１−３　玩具売場,0台
にこぱエルエルタウン岡崎,愛知県岡崎市上和田町南天白５−１エルエルタウン岡崎店,0台
ピアゴ大和,愛知県一宮市大和町毛受字一本松１９番地　玩具売場,0台
アピタ岡崎北,愛知県岡崎市日名北町４番地４６　玩具売場,0台
アピタ千代田橋,愛知県名古屋市千種区千代田橋２丁目１番１号　玩具売場,0台
レイク・リビン名西,愛知県名古屋市西区名西２丁目３３−８玩具売場,0台
ザ・ビッグエクストラ刈谷,愛知県刈谷市東境町京和１　玩具売場,0台
ピアゴ上和田,愛知県岡崎市上和田町字サジ１０　玩具売場,0台
アピタ江南西,愛知県江南市松竹町上野２０５番地　玩具売場,0台
ニコパウイングタウン岡崎,愛知県岡崎市羽根町小豆坂３番地,0台
トイザらス三好,愛知県みよし市三好町青木９１,0台
ピアゴ吉良,愛知県幡豆郡吉良町吉田字天笠桂１６番地３　玩具売場,0台
ピアゴ香久山,愛知県日進市香久山五丁目１８０１番地　玩具売場,0台
ピアゴ中村,愛知県名古屋市中村区大門町２７番地　玩具売場,0台
アピタ東海荒尾,愛知県東海市荒尾町山王前２０番地　玩具売場,0台
にこぱなるぱーく,愛知県名古屋市緑区浦里三丁目２３２　なるぱーく２Ｆ,0台
中川メトロポリス,愛知県名古屋市中川区江松三丁目１１０番地,0台
トイザらス西春日井,愛知県西春日井郡豊山町大字豊場字大山１３９−１７,0台
ピアゴ勝幡,愛知県愛西市勝幡町弁才天２２８３番地６０　玩具売場,0台
西友ＬＩＶＩＮザ・モール春日井,愛知県春日井市六軒屋町字東丘２２　玩具売場,0台
アピタ阿久比,愛知県知多郡阿久比町椋岡徳吉１番地１２　玩具売場,0台
ピアゴ武豊,愛知県知多郡武豊町西田崎１９番地の１　玩具売場,0台
アピタ稲沢,愛知県稲沢市天池五反田町１番地　玩具売場,0台
アピタ大府,愛知県大府市明成町４丁目１３３番地　玩具売場,0台
アピタ長久手,愛知県長久手市戸田谷９０１番地１　玩具売場,0台
アピタ名古屋空港,愛知県西春日井郡豊山町大字豊場字林先１番８　玩具売場,0台
アピタ瀬戸,愛知県瀬戸市幸町３３番地　玩具売場,0台
トイザらス東浦,愛知県知多郡東浦町大字緒川字申新田弐区６７−８　イオンモール東浦２Ｆ,0台
アピタ稲沢東,愛知県稲沢市下津穂所１−１−１　玩具売場,0台
ピアゴ植田,愛知県名古屋市天白区元植田１−３０２,0台
アピタ名南,愛知県名古屋市南区豊田四丁目９番４７号　玩具売場,0台
松坂屋名古屋,愛知県名古屋市中区栄３−１６−１松坂屋名古屋本店　本館　５Ｆ玩具売場,0台
トイザらス名古屋中川,愛知県名古屋市中川区新家１−２４２１　アズパーク２Ｆ,0台
イトーヨーカドー尾張旭,愛知県尾張旭市南原山町石原１１６−４玩具売場,0台
アピタ桃花台,愛知県小牧市古雅一丁目１番地　玩具売場,0台
モーリーファンタジー名古屋東,愛知県名古屋市名東区猪子石原２−１７０１ダイエー名古屋東店１Ｆ,0台
アピタ港,愛知県名古屋市港区当知二丁目１５０１番地　玩具売場,0台
西友安城,愛知県安城市大東町９−３１　玩具売場,0台
ピアゴ福釜,愛知県安城市福釜町矢場１６番地５　玩具売場,0台
ピアゴ碧南東,愛知県碧南市東浦町６丁目１７番地　玩具売場,0台
アミューズファクトリー常滑,愛知県常滑市りんくう町２丁目２０番３イオンモール常滑店２Ｆ,0台
タイトーステーション大須,愛知県名古屋市中区大須３−２０−７,0台
タイトーステーション豊橋,愛知県豊橋市藤沢町１４１−１　１Ｆ,0台
ハローズガーデン尾西,愛知県一宮市小信中島東鵯平５９　ピアゴ尾西２階,0台
アピタ向山,愛知県豊橋市向山町中畑１番地１　玩具売場,0台
ＡＧスクエア豊川,愛知県豊川市東名町２−１０１,0台
プラサカプコン豊田,愛知県豊田市東山町１−５−１　グリーンシティ３Ｆ,0台
モーリーファンタジー岡崎南,愛知県岡崎市戸崎町字ばら山１−１　イオン３Ｆ,0台
ゲームランド岡崎,愛知県岡崎市戸崎町字外山３８−５　イオンモール岡崎　シネマ館３Ｆ,0台
セガワールド上小田井ｍｏｚｏワンダーシティ,愛知県名古屋市西区二方町４０番地,0台
モーリーファンタジー春日井,愛知県春日井市柏井町４−１７　　イオン４Ｆ,0台
モーリーファンタジーメイトピア,愛知県名古屋市名東区高間町５０１−１ダイエーメイトピア店２Ｆ,0台
セガイオンモール木曽川,愛知県一宮市木曽川町黒田八ヶ池２５−１　イオンモール木曽川３階,0台
イオン熱田,愛知県名古屋市熱田区六野１−２−１１玩具売場,0台
イオン扶桑,愛知県丹羽郡扶桑町大字南山名字高塚５−１玩具売場,0台
イオン大高,愛知県名古屋市緑区大高町字奥平子１−１玩具売場,0台
イオン高橋,愛知県豊田市東山町１−５−１玩具売場,0台
イオン守山,愛知県名古屋市守山区笹ヶ根３−１２２８玩具売場,0台
イオン東浦,愛知県知多郡東浦町大字緒川字申新田二区６７−８玩具売場,0台
イオン名古屋みなと,愛知県名古屋市港区品川町２−１−６　イオン３Ｆ玩具売場,0台
イオン木曽川,愛知県一宮市木曽川町黒田字南八ツケ池２５−１玩具売場,0台
イオンワンダーシティ,愛知県名古屋市西区二方町４０番地ホビー売場,0台
イオン三好,愛知県みよし市三好町青木９１玩具売場,0台
イオンナゴヤドーム前,愛知県名古屋市東区矢田南４−１０２−３玩具売場,0台
イオン岡崎南,愛知県岡崎市戸崎町字ばら山１−１玩具売場,0台
イオン春日井,愛知県春日井市柏井町４−１７玩具売場,0台
イオン豊橋南,愛知県豊橋市野依町字落合１−１２玩具売場,0台
キッズインタイトーイオン春日井,愛知県春日井市柏井町４丁目１７番地　イオン春日井店３Ｆゲームコーナー,0台
レイク・リビン新稲沢,愛知県稲沢市朝府町４番１号　玩具売場,0台
レイク・リビン平和,愛知県稲沢市平和町須ヶ脇３６７番地　玩具売場,0台
エディオン名古屋本店,愛知県名古屋市中村区名駅南２−４−２２,0台
レイク・リビン甚目寺,愛知県あま市甚目寺五位田１２８　玩具売場,0台
西友岡崎,愛知県岡崎市戸崎町越舞２−１　玩具売場,0台
ジョーシン稲沢,愛知県稲沢市長野７−１−２,0台
セガ安城,愛知県安城市百石町２丁目３５番地１３,0台
セガワールド知立,愛知県知立市長篠町大山１８−１ギャラリエアピタ１階,0台
セガ東名ボール,愛知県瀬戸市西原町２丁目１１４,0台
セガワールド尾西,愛知県一宮市篭屋３丁目９番７号,0台
楽市楽座イオンモール名古屋茶屋,愛知県名古屋市港区西茶屋２丁目１１イオンモール名古屋茶屋店３階,0台
アーバンスクエア大須,愛知県名古屋市中区大須３丁目３０−３１萬松寺駐車場ビル１．２階,0台
ヨシヅヤＪＲ蟹江,愛知県海部郡蟹江町今３丁目１７番地,0台
ヨシヅヤ名西,愛知県名古屋市西区名西２丁目３３−８,0台
ヨシヅヤ太平通,愛知県名古屋市中川区宮脇町２丁目１１番地,0台
ヨシヅヤ大口,愛知県丹羽郡大口町奈良子２丁目７９,0台
ヨシヅヤ弥冨,愛知県弥富市鯏浦町南前新田１２３番地,0台
ヨシヅヤ津島本店,愛知県津島市大字津島字北新開３５１番地,0台
ヨシヅヤ津島北テラス,愛知県津島市片岡町６０番地,0台
ヨシヅヤ佐屋,愛知県愛西市須依町前田面９５−１,0台
ジョーシン半田,愛知県半田市浜田町３−８−１,0台
エディオン岡崎本店,愛知県岡崎市上六名町字宮前１,0台
アル・プラザ小牧,愛知県小牧市小牧３丁目５５５番地　玩具売場,0台
ワンダーフォレスト江南西,愛知県江南市松竹町上野２０５ＶＩＡＭＡＬＬアピタ江南西店２Ｆ,0台
ハローズガーデン安城南,愛知県安城市桜井町貝戸尻６０番地アピタ安城南店２階,0台
タイトーステーション弥富,愛知県弥富市五明蒲原１３７１−４,0台
