店名,住所,台数
ハローズガーデンワカバウォーク,埼玉県鶴ケ島市富士見１−２−１ワカバウォーク北棟２階,0台
ハローズガーデン本庄,埼玉県本庄市南１−２−１０アピタ本庄店１階,0台
ハローズガーデン深谷,埼玉県深谷市上紫町西４−２−１４アリオ深谷店２階,0台
レジャーランド春日部,埼玉県春日部市大字増富字谷際１６３−１,0台
イトーヨーカドーアリオ川口,埼玉県川口市並木元町１−７９玩具売場,0台
イトーヨーカドー新田,埼玉県草加市旭町６−１５−３０玩具売場,0台
イトーヨーカドー草加,埼玉県草加市高砂２−７−１玩具売場,0台
イトーヨーカドー三郷,埼玉県三郷市天神２−２２玩具売場,0台
イトーヨーカドー春日部,埼玉県春日部市中央１−１３−１玩具売場,0台
イトーヨーカドー浦和,埼玉県さいたま市浦和区仲町１−７−１玩具売場,0台
イトーヨーカドー大宮宮原,埼玉県さいたま市北区宮原町１−８５４−１玩具売場,0台
イトーヨーカドー和光,埼玉県和光市丸山台１−９−３玩具売場,0台
イトーヨーカドー錦町,埼玉県蕨市錦町１−１２−１玩具売場,0台
イトーヨーカドーアリオ鷲宮,埼玉県久喜市久本寺谷田７番地１玩具売場,0台
イトーヨーカドー久喜,埼玉県久喜市中央４−９−１１玩具売場,0台
タイトーステーション大宮,埼玉県さいたま市大宮区大門町１−１,0台
ＦＥＳＴＡ上尾,埼玉県上尾市愛宕３丁目１−４０　バリュープラザ上尾愛宕店内,0台
イトーヨーカドーアリオ上尾,埼玉県上尾市大字壱丁目３６７玩具売場,0台
イトーヨーカドー上尾駅前,埼玉県上尾市谷津２−１−１玩具売場,0台
ＡＧスクエア埼玉花園,埼玉県深谷市荒川３５９,0台
イトーヨーカドーアリオ深谷,埼玉県深谷市上柴町西４−２−１４玩具売場,0台
ユーズランド春日部,埼玉県春日部市下柳４２０−１　イオンモール春日部２Ｆ　区画番号２０３７,0台
セガ与野,埼玉県さいたま市中央区本町西５−２−９　イオン与野ショッピングセンター３Ｆ,0台
ユーズランド越谷,埼玉県越谷市東町４−２１−１イオンレイクタウンＫＡＺＥ３Ｆ　Ａ３４２,0台
ＳｏｙｕＰｉｒａｔｅｓＫｉｄｓ錦町,埼玉県蕨市錦町一丁目１２番１号　イトーヨーカドー錦町店２Ｆ,0台
ソユーゴールドフィッシュ川口,埼玉県川口市並木元町１番７９号　アリオ川口３Ｆ,0台
モーリーファンタジー羽生,埼玉県羽生市川崎２丁目２８１番地３イオン３Ｆ,0台
ゲオ東越谷,埼玉県越谷市東越谷４−８−１７,0台
モーリーファンタジー与野,埼玉県さいたま市中央区本町西５丁目２−９イオン３Ｆ,0台
モーリーファンタジー大井,埼玉県ふじみ野市ふじみ野１−２−１　イオン３Ｆ,0台
ＪＯＹＦＵＬ−２幸手,埼玉県幸手市上高野１２５８−１　玩具売場,0台
セガ川口,埼玉県川口市東領家２−２−１０,0台
モーリーファンタジー入間,埼玉県入間市上藤沢４６２−１イオン２Ｆ,0台
ラクガキ王国三郷,埼玉県三郷市天神２−２２イトーヨーカドー２階,0台
プレイランドイオン北浦和,埼玉県さいたま市浦和区常盤１０−２０−２９イオン北浦和３Ｆ,0台
ビックカメラ大宮西口そごう,埼玉県さいたま市さいたま市大宮区桜木町１−８−４　そごうパーキング館,0台
イオン与野,埼玉県さいたま市中央区本町西５−２−９玩具売場,0台
イオン大井,埼玉県ふじみ野市ふじみ野１−２−１玩具売場,0台
イオン入間,埼玉県入間市上藤沢４６２−１玩具売場,0台
イオン熊谷,埼玉県熊谷市本石２−１３５玩具売場,0台
イオン浦和美園,埼玉県さいたま市緑区大字大門３７１０ホビー売り場,0台
イオン川口,埼玉県川口市安行領根岸字外谷田３１８０−１玩具売場,0台
イオン川口前川,埼玉県川口市前川１−１−１１玩具売場,0台
イオン北浦和,埼玉県さいたま市浦和区常盤１０−２０−２９玩具売場,0台
ヨークマート三室,埼玉県さいたま市緑区松木２−８−１　玩具売場,0台
ＳＯＹＵＧａｍｅＦｉｅｌｄ熊谷,埼玉県熊谷市埼玉県熊谷市銀座二丁目２４５番地ショッピングセンターニットーモール４Ｆ,0台
ライフ新座,埼玉県新座市栗原４−１２−２５　玩具売場,0台
そごう大宮,埼玉県さいたま市大宮区桜木町１−６−２そごう大宮店５Ｆ玩具売場,0台
モーリーファンタジー東大宮,埼玉県さいたま市見沼区春野２丁目８番地パトリア東大宮店３Ｆ,0台
ハローズガーデンせんげん台,埼玉県越谷市千間台東２−７０７セブンタウンせんげんだ台店　２Ｆ,0台
あそびライブラリー,埼玉県川口市宮町１８−９ララガーデン川口店　２Ｆ,0台
ドン・キホーテ川越,埼玉県川越市小仙波９３８−２,0台
ＭＥＧＡドン・キホーテ三郷,埼玉県三郷市さつき平１−１−１,0台
ＭＥＧＡドン・キホーテ浦和原山,埼玉県さいたま市緑区原山４−３−３,0台
ＭＥＧＡドン・キホーテ春日部,埼玉県春日部市南中曽根８９５−１,0台
ゲームシティプラス川越,埼玉県川越市埼玉県川越市泉町１−１ウニクス南古谷シネマ棟１Ｆ,0台
ゲームシティ川口,埼玉県川口市埼玉県川口市栄町１−１０−５,0台
ジョーシン浦和美園イオンモール,埼玉県さいたま市緑区大字大門３７１０,0台
楽市楽座イオンモール川口前川,埼玉県川口市前川１−１−１１イオンモール川口前川店３階,0台
ヤマダ電機テックランド坂戸,埼玉県坂戸市八幡１−３−４５,0台
セガワールド入間,埼玉県入間市東藤沢２−１８,0台
ゲオ東松山,埼玉県東松山市松本町２丁目１番５１号,0台
タイトーステーション　所沢店,埼玉県所沢市日吉町３−７　スカイビュウビル,0台
セガららぽーと富士見,埼玉県富士見市山室１−１３１３　３階３５２００区画,0台
ヨドバシカメラマルチメディアさいたま新都心駅前,埼玉県さいたま市大宮区吉敷町４−２６３−６,0台
アピタ桶川,埼玉県桶川市桶川都市計画事業下日出谷東特定土地区画整理事業地内４２街区１画地　玩具売場,0台
タイトーステーション　大宮,埼玉県さいたま市大宮区大門町１−１,0台
タイトーステーション和光,埼玉県和光市丸山台１−４−５,0台
レジャーランド川越,埼玉県川越市新富町１−１７−４,0台
