店名,住所,台数
モーリーファンタジー茅ヶ崎中央,神奈川県茅ヶ崎市茅ケ崎３丁目５番１６号イオン３Ｆ,0台
イオン厚木,神奈川県厚木市中町１－５－１０,0台
ハローズガーデン厚木,神奈川県厚木市厚木市中町１－５?１０厚木ガーデンシティビル５Ｆ,0台
レジャーランド厚木,神奈川県厚木市戸室５丁目３１－１,0台
ピアゴ座間,神奈川県座間市入谷一丁目４１６番地の２玩具売場,0台
モーリーファンタジー座間,神奈川県座間市広野台２－１０イオンスタイル座間店３階,0台
イトーヨーカドー小田原,神奈川県小田原市中里２９６－１玩具売場,0台
キッズトレイン小田原,神奈川県小田原市中里２０８ダイナシティーウェスト４Ｆ,0台
セガ小田原ダイナシティ,神奈川県小田原市中里２９６－１,0台
タイトーステーション小田原シティーモールクレッセ,神奈川県小田原市前川１２０小田原シティモールクレッセ内２Ｆ,0台
ハーティーあさひや,神奈川県小田原市栄町１－２－１小田原駅前ビル地下１階,0台
小田原メトロポリス,神奈川県小田原市前川２１９－４,0台
イオン秦野,神奈川県秦野市入船町１２－１玩具売場,0台
モーリーファンタジー秦野,神奈川県秦野市入船町１２－１イオン２Ｆ,0台
ＡＭＰＩＡ川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地岡田屋モアーズ１階,0台
ＮＩＣＯＰＡ＆ｎｉｃｏｇｒｏｕｎｄ川崎,神奈川県川崎市川崎区富士見１－５－５マーケットスクエア川崎イースト１Ｆ,0台
ＹＡＺ川崎,神奈川県川崎市幸区小倉５－１９－２３クロスガーデン川崎１Ｆ,0台
アムジーＫＴなっつべりぃ,神奈川県川崎市川崎区港町１２－１　イトーヨーカドー川崎港町店２Ｆ,0台
イオン新百合丘,神奈川県川崎市麻生区上麻生１－１９玩具売場,0台
イトーヨーカドーグランツリー武蔵小杉,神奈川県川崎市中原区新丸子東３丁目１１３５番地１号,0台
イトーヨーカドー溝ノ口,神奈川県川崎市高津区久本３－６－２０玩具売場,0台
イトーヨーカドー新百合ヶ丘,神奈川県川崎市麻生区上麻生１－４－１玩具売場,0台
イトーヨーカドー川崎,神奈川県川崎市川崎区小田栄２－２－１玩具売場,0台
イトーヨーカドー川崎港町,神奈川県川崎市川崎区港町１２－１玩具売場,0台
イトーヨーカドー武蔵小杉駅前,神奈川県川崎市中原区小杉町３－４２０玩具売場,0台
こころっこ川崎,神奈川県川崎市川崎区中瀬３－２０ホームズ川崎店内２Ｆプレビプレイランドコーナーこころっこ,0台
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階,0台
タイトーステーション溝の口,神奈川県川崎市高津区溝口１－１１－８ＯＫＫＡ６３４ビル,0台
トイザらス川崎高津,神奈川県川崎市高津区溝口６－１１－１,0台
ビックカメララゾーナ川崎,神奈川県川崎市幸区堀川町７２－１３Ｆトイズコーナー,0台
