店名,住所,台数
グルメシティ六甲アイランド,兵庫県神戸市東灘区向洋町中５－１５,0台
エディオン垂水,兵庫県神戸市垂水区舞多聞東２丁目１－４５,0台
モーリーファンタジー藤原台,兵庫県神戸市北区藤原台中町１－２－２,0台
モーリーファンタジー神戸北,兵庫県神戸市北区上津台８－１－１イオン３Ｆ,0台
ダイエー神戸学園,兵庫県神戸市西区学園西町１－４,0台
モーリーファンタジージェームス山,兵庫県神戸市垂水区青山台７－７－１イオン１Ｆ,0台
プリズムストーンプリパラショップ三宮店,兵庫県神戸市中央区三宮町１丁目９－１－２０１－２センタープラザ２Ｆ,0台
イオン神戸北,兵庫県神戸市北区上津台８－１－１玩具売場,0台
マリンカーニバル,兵庫県神戸市北区日の峰２－６－１コアキタマチ３Ｆ,0台
モーリーファンタジー湊川,兵庫県神戸市兵庫区荒田町２－１８－２０ダイエー湊川店３Ｆ,0台
タイトーＦステーションＨＡＴ神戸,兵庫県神戸市中央区脇浜海岸通２－２－２ブルメールＨＡＴ神戸２Ｆ,0台
モーリーファンタジー西神中央,兵庫県神戸市西区糀台５－３－４,0台
モーリーファンタジー板宿,兵庫県神戸市須磨区前池町３－２－１ダイエー板宿店４Ｆ,0台
セガ神戸ｕｍｉｅサウスモール,兵庫県神戸市中央区東川崎１－７－２Ａ－４０８,0台
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町６番１号,0台
ライフ春日野道,兵庫県神戸市中央区北本町通１－１－２３玩具売場,0台
ライフ本山,兵庫県神戸市東灘区本山南町６丁目１０－２８玩具売場,0台
モーリーファンタジー舞子,兵庫県神戸市垂水区舞子台６－２０－１７ダイエー舞子店２Ｆ,0台
キッズパーク西宮,兵庫県西宮市浜松原町２１－１マルナカ西宮店２Ｆ,0台
モーリーファンタジー西宮,兵庫県西宮市林田町２－２４,0台
イトーヨーカドー甲子園,兵庫県西宮市甲子園八番町１－１００玩具売場,0台
セガららぽーと甲子園,兵庫県西宮市甲子園８番町１－１００ららぽーと甲子園２Ｆ,0台
イオン赤穂,兵庫県赤穂市中広字別所５５－３玩具売場,0台
モーリーファンタジー猪名川,兵庫県川辺郡猪名川町白金２－１イオン３Ｆ,0台
イオン猪名川,兵庫県川辺郡猪名川町白金２－１ホビー売場,0台
ニシダヤ丹波ゆめタウン,兵庫県丹波市氷上町本郷３００ゆめタウン１Ｆ玩具売場,0台
アル・クリオゲームコーナー,兵庫県淡路市志筑新島１０番地の３,0台
モーリーファンタジー和田山,兵庫県朝来市和田山町枚田岡７７４イオン２Ｆ,0台
モーリーファンタジー南淡路,兵庫県南あわじ市賀集八幡北字東内３７８－１イオン１Ｆ,0台
アル・プラザあまがさき,兵庫県尼崎市潮江１－３－１玩具売場,0台
モーリーファンタジー尼崎,兵庫県尼崎市次屋３－１３－１８イオン２Ｆ,0台
セガワールドココエあまがさき,兵庫県尼崎市潮江１－３－１ココエあまがさき４Ｆ,0台
セガつかしん,兵庫県尼崎市塚口本町４－８－１つかしん内,0台
ジョーシンつかしん,兵庫県尼崎市塚口本町４－８－１,0台
エディオンＪＲ尼崎駅,兵庫県尼崎市潮江１－１－５０,0台
アル・プラザつかしん,兵庫県尼崎市塚口本町４－８－１玩具売場,0台
