店名,住所,台数
ドラマ八王子高倉,東京都八王子市高倉町５５－４,0台
ドン・キホーテ八王子駅前,東京都八王子市中町１－３,0台
ヨドバシカメラ八王子,東京都八王子市東町７－４玩具売場,0台
イトーヨーカドー南大沢,東京都八王子市南大沢２－２８－１玩具売場,0台
ソユープレイランドソピア南大沢,東京都八王子市南大沢二丁目２８－１イトーヨーカドー南大沢店３Ｆ,0台
ビックカメラＪＲ八王子駅,東京都八王子市八王子市旭町１－１７トイズコーナー,0台
プレビ　三和堀之内,東京都八王子市別所２－１三和堀之内店内２階プレビプレイランド,0台
ヤマダ電機テックランドＮｅｗ八王子別所,東京都八王子市別所２－５６,0台
イトーヨーカドー上板橋,東京都板橋区常盤台４－２６－１玩具売場,0台
ＰＡＬＯ成増,東京都板橋区成増２－２１－２ダイエー成増店４Ｆ,0台
イオンリテールストア板橋前野町,東京都板橋区前野町４－２１－２２,0台
イオン板橋,東京都板橋区徳丸２－６－１玩具売場,0台
モーリーファンタジー板橋,東京都板橋区徳丸２丁目６番地１イオン３Ｆ,0台
モーリーファンタジー西台,東京都板橋区蓮根３－８－１２,0台
イトーヨーカドー大井町,東京都品川区大井１－３－６玩具売場,0台
ヤマダ電機ＬＡＢＩ品川大井町,東京都品川区東大井５丁目２０－１ＡＶソフトコーナー玩具売場,0台
イオン品川シーサイド,東京都品川区東品川４－１２－５玩具売場,0台
モーリーファンタジー品川シーサイド,東京都品川区東品川４丁目１２－５イオン２Ｆ,0台
セガワールドアルカス,東京都府中市宮西町２－５－１さくら三番館,0台
伊勢丹府中,東京都府中市宮町１－４１－２伊勢丹府中店７Ｆ,0台
トイザらス府中駅前,東京都府中市宮町１－５０くるるＢ１Ｆ,0台
セガワールド府中,東京都府中市西原町１－６－２府中クレッセ内,0台
ダイエー武蔵村山,東京都武蔵村山市伊奈平３－３６－１玩具売場,0台
セガイオンモールむさし村山,東京都武蔵村山市榎１－１－３－２０５９,0台
イオンむさし村山,東京都武蔵村山市榎１－１－３玩具売場,0台
モーリーファンタジーむさし村山,東京都武蔵村山市榎１丁目１番３号イオン３Ｆ,0台
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町１－１０－１いなりやビルＢ１Ｆ,0台
キデイランド吉祥寺,東京都武蔵野市吉祥寺本町１－１１－５コピス吉祥寺Ａ館６階,0台
ヨドバシカメラマルチメディア吉祥寺,東京都武蔵野市吉祥寺本町１－１９－１玩具売場,0台
イトーヨーカドー武蔵境,東京都武蔵野市境南町２－２－２０玩具売場,0台
西友福生,東京都福生市東町５－１玩具売場,0台
セガ東京ドームシティ,東京都文京区後楽１－３－６１,0台
タイトーステーション池袋西口,東京都豊島区西池袋１－１５－９,0台
ビックカメラ池袋西口,東京都豊島区西池袋１－１６－３,0台
ドン・キホーテ北池袋,東京都豊島区池袋本町２－７－５,0台
池袋ＧＩＧＯ,東京都豊島区東池袋１－２１－１,0台
ＡＭサントロペ池袋,東京都豊島区東池袋１－２９サントロペビル２階,0台
ヤマダ電機ＩＫＥＢＵＫＵＲＯアウトレット・リユースＴＡＸＦＲＥＥ,東京都豊島区東池袋１－４１－１,0台
ビックカメラ池袋本店,東京都豊島区東池袋1－41－55F,0台
ヤマダ電機ＬＡＢＩ１日本総本店池袋,東京都豊島区東池袋１－５－７,0台
ライフ落合南長崎駅前,東京都豊島区南長崎４－５－２０,0台
ライフ千川駅前,東京都豊島区要町３－４５－４玩具売場,0台
イオン赤羽北本通り,東京都北区神谷３－１２－１玩具売場,0台
イトーヨーカドー赤羽,東京都北区赤羽西１－７－１玩具売場,0台
ヨドバシカメラマルチメディア錦糸町,東京都墨田区江東橋３－１４－５錦糸町ステーションビル内玩具売場,0台
タイトーＦステーションオリナス錦糸町,東京都墨田区太平４－１－２オリナスモール地下１階,0台
ハローズガーデン墨田文化,東京都墨田区文花１－３１－９オリンピック墨田文花店１Ｆ,0台
ＣＬＵＢＳＥＧＡ自由ヶ丘,東京都目黒区自由ヶ丘２－１０－９,0台
ＣＬＵＢＳＥＧＡ立川,東京都立川市紫崎町３－２－１サザンビル１Ｆ,0台
ビックカメラ立川,東京都立川市曙町２－１２－２,0台
タイトーステーション立川北口,東京都立川市曙町２－４－５クリサス立川,0台
プリズムストーンコトブキヤ立川店,東京都立川市緑町４－５壽屋ビル１階,0台
イオン練馬,東京都練馬区光が丘５－１－１玩具売場,0台
西友光が丘,東京都練馬区光が丘５－１－１玩具売場,0台
キデイランド光が丘,東京都練馬区光が丘５－１－１光が丘ＩＭＡ２Ｆ玩具売場,0台
ライフ平和台,東京都練馬区北町６－１０－１玩具売場,0台
西友練馬,東京都練馬区練馬１－３－１０玩具売場,0台
