店名,住所,台数
ピアゴ武豊,愛知県知多郡武豊町西田崎１９番地の１玩具売場,0台
モーリーファンタジー東浦,愛知県知多郡東浦町大字緒川字申新田二区６７－８イオン１Ｆ,0台
イトーヨーカドー知多,愛知県知多市新知東町１－１０－１玩具売場,0台
アピタ知立,愛知県知立市長篠町大山１８番地の１玩具売場,0台
セガワールド知立,愛知県知立市長篠町大山１８－１ギャラリエアピタ１階,0台
ピアゴ知立,愛知県知立市新地町番割６４番地玩具売場,0台
アピタ長久手,愛知県長久手市戸田谷９０１番地１玩具売場,0台
モーリーファンタジー長久手,愛知県長久手市長久手中央イオン３Ｆ,0台
ヨシヅヤ津島本店,愛知県津島市大字津島字北新開３５１番地,0台
レイク・リビン津島本店,愛知県津島市大字津島字北新開３５１番地玩具売場,0台
ファミリーランドドリーム,愛知県田原市田原町南新地７６－１,0台
アピタ東海荒尾,愛知県東海市荒尾町山王前２０番地玩具売場,0台
ピアゴ太田川,愛知県東海市大田町下浜田１０２？１玩具売場,0台
セガプライムツリー赤池,愛知県日進市赤池町箕ノ手１番（３１３区画）（仮）,0台
ピアゴ香久山,愛知県日進市香久山五丁目１８０１番地玩具売場,0台
ビックトイズプライムツリー赤池,愛知県日進市赤池町箕ノ手１番３Ｆ,0台
ピアゴ吉良,愛知県幡豆郡吉良町吉田字天笠桂１６番地３玩具売場,0台
ジョーシン半田,愛知県半田市浜田町３－８－１,0台
モーリーファンタジー半田,愛知県半田市有楽町８－７イオン２Ｆ,0台
イトーヨーカドー尾張旭,愛知県尾張旭市南原山町石原１１６－４玩具売場,0台
ピアゴ印場,愛知県尾張旭市庄中町鳥居１６５２番地２玩具売場,0台
ピアゴ碧南,愛知県碧南市天王町２丁目１番地玩具売場,0台
ピアゴ碧南東,愛知県碧南市東浦町６丁目１７番地玩具売場,0台
ＭＥＧＡドン・キホーテ豊橋,愛知県豊橋市藤沢町１４１,0台
イオン豊橋南,愛知県豊橋市野依町字落合１－１２玩具売場,0台
タイトーステーション豊橋,愛知県豊橋市藤沢町１４１－１１Ｆ,0台
ピアゴ大清水,愛知県豊橋市南大清水町字富士見７００－１玩具売場,0台
モーリーファンタジー豊橋南,愛知県豊橋市野依町字落合１－１２イオン２Ｆ,0台
モーリーファンタジー豊川,愛知県豊川市開運通り２－３１イオン２Ｆ,0台
豊川メトロポリス,愛知県豊川市下長山町上アライ１４－１,0台
ＭＥＧＡドン・キホーテＵＮＹ国府,愛知県豊川市国府町桜田１０３,0台
アピタ豊田元町,愛知県豊田市土橋町２丁目６５番地玩具売場,0台
イオン高橋,愛知県豊田市東山町１－５－１玩具売場,0台
トヨタ生協本店,愛知県豊田市山之手８－９２,0台
プラサカプコン豊田,愛知県豊田市東山町１－５－１グリーンシティ３Ｆ,0台
モーリーファンタジー豊田,愛知県豊田市広路１－１イオンスタイル豊田内３Ｆ,0台
ＧＡＺＡ３Ｆゲームコーナー,愛知県豊田市喜多町１丁目１４０番地,0台
トヨタ生協本店３Ｆ,愛知県豊田市山之手８－９２玩具売場,0台
ピアゴ豊明,愛知県豊明市三崎町井ノ花５番地の１玩具売場,0台
レイク・リビン師勝,愛知県北名古屋市師勝町大字鹿田１９２９玩具売場,0台
アーバンスクエア大須,愛知県名古屋市中区大須３丁目３０－３１萬松寺駐車場ビル１．２階,0台
アピタ港,愛知県名古屋市港区当知二丁目１５０１番地玩具売場,0台
アピタ千代田橋,愛知県名古屋市千種区千代田橋２丁目１番１号玩具売場,0台
アピタ東海通,愛知県名古屋市港区港明１丁目１０番２８号玩具売場,0台
アピタ名古屋南,愛知県名古屋市南区豊田四丁目９番４７号玩具売場,0台
アピタ名南,愛知県名古屋市南区豊田四丁目９番４７号玩具売場,0台
アピタ名北,愛知県名古屋市北区辻町９丁目１番地玩具売場,0台
アピタ鳴海,愛知県名古屋市緑区鳴海町伝治山３番地９玩具売場,0台
アピタ緑,愛知県名古屋市緑区徳重二丁目２０１番地玩具売場,0台
イオンナゴヤドーム前,愛知県名古屋市東区矢田南４－１０２－３玩具売場,0台
イオンワンダーシティ,愛知県名古屋市西区二方町４０番地ホビー売場,0台
イオン上飯田,愛知県名古屋市北区織部町１玩具売場,0台
イオン大高,愛知県名古屋市緑区大高町字奥平子１－１玩具売場,0台
イオン熱田,愛知県名古屋市熱田区六野１－２－１１玩具売場,0台
イオン名古屋みなと,愛知県名古屋市港区品川町２－１－６イオン３Ｆ玩具売場,0台
エディオン名古屋本店,愛知県名古屋市中村区名駅南２－４－２２,0台
カラフルパークイオン千種,愛知県名古屋市千種区千種２－１６－１３イオン千種ＳＣ２Ｆ,0台
カラフルパークイオン有松,愛知県名古屋市緑区鳴海町字有松裏２００番地イオンタウン有松１Ｆ,0台
セガイオンタウン名西,愛知県名古屋市西区香呑町六丁目４９－１,0台
セガメイカーズピア名古屋,愛知県名古屋市港区金城ふ頭２－７－１,0台
セガワールド上小田井ｍｏｚｏワンダーシティ,愛知県名古屋市西区二方町４０番地,0台
タイトーステーション大須,愛知県名古屋市中区大須３－２０－７,0台
タワーレコード名古屋近鉄パッセ,愛知県名古屋市中村区名駅１－２－２近鉄パッセ９Ｆ,0台
トイザらス名古屋中川,愛知県名古屋市中川区新家１－２４２１アズパーク２Ｆ,0台
にこぱなるぱーく,愛知県名古屋市緑区浦里三丁目２３２なるぱーく２Ｆ,0台
ピアゴラフーズコアアラタマ,愛知県名古屋市南区駈丘１－１－３１,0台
ピアゴ植田,愛知県名古屋市天白区元植田１－３０２,0台
ピアゴ清水山,愛知県名古屋市緑区清水山１－５０１玩具売場,0台
ピアゴ西城,愛知県名古屋市守山区村合町１７５番地玩具売場,0台
ピアゴ中村,愛知県名古屋市中村区大門町２７番地玩具売場,0台
ピアゴ平針,愛知県名古屋市天白区平針二丁目１２０１番地玩具売場,0台
ビックカメラＪＲゲートタワー,愛知県名古屋市中村区名駅１－１－３９階・１０階,0台
ビックカメラ名古屋駅西,愛知県名古屋市中村区椿町６－９トイズコーナー,0台
プリズムストーンプリパラショップ名古屋店,愛知県名古屋市中区栄三丁目３番１号丸栄２Ｆアニメガ名古屋店内,0台
モーリーファンタジー・ｆ新瑞橋,愛知県名古屋市南区菊住１丁目７－１０イオンモール３Ｆ,0台
モーリーファンタジーナゴヤドーム前,愛知県名古屋市東区矢田南４丁目１０２番地の３イオン３Ｆ,0台
モーリーファンタジーメイトピア,愛知県名古屋市名東区高間町５０１－１ダイエーメイトピア店２Ｆ,0台
モーリーファンタジーワンダーシティ,愛知県名古屋市西区二方町４０イオン３Ｆ,0台
モーリーファンタジー上飯田,愛知県名古屋市北区織部町１ダイエー上飯田店３Ｆ,0台
モーリーファンタジー大高,愛知県名古屋市緑区大高町字奥平子１－１イオン３Ｆ,0台
モーリーファンタジー熱田,愛知県名古屋市熱田区六野一丁目２番１１号イオン２Ｆ,0台
モーリーファンタジー名古屋みなと,愛知県名古屋市港区品川町２－１－６イオン３Ｆ,0台
モーリーファンタジー名古屋茶屋,愛知県名古屋市港区西茶屋２丁目１１イオン３Ｆ,0台
モーリーファンタジー名古屋東,愛知県名古屋市名東区猪子石原２－１７０１イオン１Ｆ,0台
ヤマダ電機ＬＡＢＩ名古屋,愛知県名古屋市中村区名駅１－２－５玩具売場,0台
ヨシヅヤ太平通り,愛知県名古屋市中川区宮脇町２丁目１１番地玩具売場,0台
ヨシヅヤ名西,愛知県名古屋市西区名西２丁目３３－８玩具売場,0台
楽市楽座イオンモール名古屋茶屋,愛知県名古屋市港区西茶屋２丁目１１イオンモール名古屋茶屋店３階,0台
中川メトロポリス,愛知県名古屋市中川区江松三丁目１１０番地,0台
プラサカプコン徳重,愛知県名古屋市緑区鳴海町字徳重１８番地４４ヒルズウォーク徳重ガーデンズガーデンズ棟２Ｆ,0台
名古屋レジャーランドささしま,愛知県名古屋市中村区平池町４丁目６０番１４号マーケットスクエアささしま１Ｆ,0台
ＢＲＥＭＥＮＴＯＷＮ鳴海,愛知県名古屋市緑区鳴海町字伝冶山３－９アピタ鳴海店２Ｆ,0台
タイトーステーション弥富,愛知県弥富市五明蒲原１３７１－４,0台
